PM10 level,Happiness,Year
5.986351,7.7,2016
5.975248,7.57,2016
5.987805,7.45,2016
5.989327,7.34,2016
5.990635,7.61,2016
5.991518,7.83,2016
5.976268,7.47,2016
5.989967,7.74,2016
5.991988,7.53,2016
5.993709,7.49,2016
5.99507,7.45,2016
5.998435,7.02,2016
6.011998,7.71,2016
6.012936,7.87,2016
5.977735,7.7,2016
5.991844,7.8,2016
5.994608,7.14,2016
5.998863,7.86,2016
6.000484,7.07,2016
6.007058,7.27,2016
6.028328,7.67,2016
6.018752,7.55,2016
5.977218,7.07,2016
5.977757,7.49,2016
5.97955,7.87,2016
5.994179,6.86,2016
5.99921,7.66,2016
6.001854,7.7,2016
6.007042,7.32,2016
6.025717,7.9,2016
6.048756,7.54,2016
6.024154,7.79,2016
6.011313,7.52,2016
5.975867,7.51,2016
5.976614,7.64,2016
5.979365,7.18,2016
5.996353,7.06,2016
6.005493,7.53,2016
6.006752,7.53,2016
6.015002,7.75,2016
6.094873,7.75,2016
6.065296,7.61,2016
6.028931,7.42,2016
5.977379,7.82,2016
5.978723,7.58,2016
5.984813,7.48,2016
6.002892,8.19,2016
6.017883,8.02,2016
6.014995,7.71,2016
6.03715,7.55,2016
6.412979,7.47,2016
6.072114,7.62,2016
6.044778,7.27,2016
5.978325,7.59,2016
5.978776,7.62,2016
5.981215,7.79,2016
6.000766,7.45,2016
6.014755,7.65,2016
6.012214,7.81,2016
6.020382,7.61,2016
6.089103,7.64,2016
6.167769,7.37,2016
6.158754,7.52,2016
6.048091,7.61,2016
5.978561,7.4,2016
5.989902,7.17,2016
5.999537,7.78,2016
6.076878,7.13,2016
6.01154,7.29,2016
6.022594,7.58,2016
6.277652,7.49,2016
6.349931,7.57,2016
6.130768,7.45,2016
6.028672,7.57,2016
5.979082,7.48,2016
6.026194,7.72,2016
5.996781,7.62,2016
6.014935,7.46,2016
6.02084,7.44,2016
6.045268,7.41,2016
6.257846,7.55,2016
6.265133,7.61,2016
5.977483,7.57,2016
5.984385,7.37,2016
6.001956,7.64,2016
6.02591,7.47,2016
6.044317,7.34,2016
6.142417,7.39,2016
6.114251,7.38,2016
6.679047,7.69,2016
6.016104,7.51,2016
5.979125,7.73,2016
5.994808,7.93,2016
6.012898,7.7,2016
6.035693,7.41,2016
6.056933,7.8,2016
6.06102,7.76,2016
6.034232,7.99,2016
6.027722,7.65,2016
6.011232,7.51,2016
5.995626,7.79,2016
5.97954,7.76,2016
5.984033,7.84,2016
6.044517,7.7,2016
6.011467,7.59,2016
6.030424,7.79,2016
6.03158,7.72,2016
6.023433,7.35,2016
6.064413,7.69,2016
6.08328,7.57,2016
6.046834,7.39,2016
5.989865,7.74,2016
5.959349,7.58,2016
5.963056,7.49,2016
5.979879,7.92,2016
5.982645,7.41,2016
6.00523,7.34,2016
6.303987,7.67,2016
6.020753,7.48,2016
6.039347,7.47,2016
6.036625,7.35,2016
6.011739,7.76,2016
6.140913,7.28,2016
5.9888,7.58,2016
5.989165,7.68,2016
5.960035,7.45,2016
5.967182,7.59,2016
5.97536,7.39,2016
5.977213,7.64,2016
5.99031,7.62,2016
6.015444,7.84,2016
6.0053,7.45,2016
5.984939,7.92,2016
6.093256,7.14,2016
5.986503,7.64,2016
6.178419,7.58,2016
6.080049,7.65,2016
6.046528,7.47,2016
6.000864,8,2016
5.988154,8.04,2016
5.958356,7.6,2016
5.981691,7.53,2016
5.975517,7.45,2016
5.988133,7.94,2016
6.010936,7.38,2016
6.046833,7.47,2016
6.030825,7.87,2016
5.992776,7.12,2016
5.984313,7.65,2016
5.98508,7.66,2016
5.990195,7.35,2016
5.989316,7.1,2016
6.10175,7.43,2016
6.34717,7.38,2016
6.115035,7.31,2016
5.988482,7.52,2016
5.983826,7.21,2016
5.9596,7.25,2016
6.068359,7.54,2016
5.972445,7.33,2016
6.007243,7.55,2016
6.089383,7.55,2016
6.046075,7.56,2016
6.031878,7.38,2016
5.997044,7.62,2016
5.987791,7.46,2016
5.99495,7.58,2016
5.992581,7.34,2016
6.015143,7.61,2016
6.087461,7.35,2016
6.05676,7.23,2016
6.004405,7.27,2016
5.985654,7.72,2016
5.981812,7.44,2016
5.961915,7.36,2016
5.973752,7.91,2016
5.974683,7.58,2016
6.01651,7.66,2016
6.523516,7.53,2016
6.037716,7.58,2016
6.000484,7.54,2016
5.998737,7.61,2016
5.99374,7.53,2016
6.030205,7.49,2016
5.992015,7.44,2016
6.122286,7.53,2016
6.295292,7.51,2016
6.272083,7.4,2016
5.991018,7.53,2016
5.988114,7.54,2016
5.984141,7.25,2016
5.967578,7.25,2016
5.983069,7.41,2016
5.977686,7.25,2016
6.204081,7.47,2016
6.110698,7.35,2016
6.051381,7.41,2016
5.99525,7.58,2016
5.99655,7.69,2016
6.007338,7.62,2016
6.036058,7.69,2016
5.993795,7.62,2016
6.036978,7.68,2016
6.004674,8,2016
6.002848,7.7,2016
5.998209,7.29,2016
5.993204,7.33,2016
5.986308,7.39,2016
5.99826,7.2,2016
5.988036,7.4,2016
5.984264,7.44,2016
5.984214,7.32,2016
6.518045,7.43,2016
6.065104,7.41,2016
6.002642,7.52,2016
6.042969,7.62,2016
6.049587,7.56,2016
6.011457,7.82,2016
5.991017,7.58,2016
5.989802,7.76,2016
6.007142,7.66,2016
6.013073,7.4,2016
5.993139,7.49,2016
5.991383,7.23,2016
5.984821,7.77,2016
6.196218,7.53,2016
6.023763,7.6,2016
6.014839,7.46,2016
5.999368,7.73,2016
6.569397,7.32,2016
6.093301,7.21,2016
6.059287,7.18,2016
6.327307,7.23,2016
6.088698,7.37,2016
6.018166,7.62,2016
6.00561,7.73,2016
6.000688,7.28,2016
5.999439,7.51,2016
5.998969,7.54,2016
5.99533,7.76,2016
5.992603,8.3,2016
5.97902,7.65,2016
6.088673,7.83,2016
6.187656,7.55,2016
6.082758,7.59,2016
5.997494,7.54,2016
6.03687,7.46,2016
6.050215,7.47,2016
6.220141,7.51,2016
6.193635,7.23,2016
6.039382,7.26,2016
6.007398,7.46,2016
5.993436,7.4,2016
5.995607,7.5,2016
5.992197,7.58,2016
5.992091,7.58,2016
5.97919,7.53,2016
5.979419,7.56,2016
5.980728,7.12,2016
6.025822,7.61,2016
5.997499,7.25,2016
5.998404,7.66,2016
6.033422,7.51,2016
6.284553,7.49,2016
6.168203,7.24,2016
6.253662,7.58,2016
6.007722,7.74,2016
6.001117,7.53,2016
5.99116,7.45,2016
5.989991,7.18,2016
5.948856,7.88,2016
5.948989,7.32,2016
5.979934,7.54,2016
5.980553,7.6,2016
5.981821,7.51,2016
5.984517,7.66,2016
6.007276,8.09,2016
6.001667,7.33,2016
6.021574,7.68,2016
6.032519,7.87,2016
6.016906,7.57,2016
6.002144,7.09,2016
5.998473,7.63,2016
5.993003,7.69,2016
5.990833,7.59,2016
5.949096,7.71,2016
5.976886,7.42,2016
5.981244,7.74,2016
5.982261,7.6,2016
5.982678,7.42,2016
5.985289,7.47,2016
5.988363,7.45,2016
5.999821,7.3,2016
6.006842,7.48,2016
6.000009,7.21,2016
5.999753,7.59,2016
5.995553,7.49,2016
5.994979,7.73,2016
5.990859,7.36,2016
5.989331,7.56,2016
5.988284,7.67,2016
5.989103,7.68,2016
5.948097,7.49,2016
5.947853,7.68,2016
5.97584,7.84,2016
5.980792,7.63,2016
5.981977,7.5,2016
5.982243,7.55,2016
5.983491,7.71,2016
5.986011,7.15,2016
5.995397,7.8,2016
6.00084,7.03,2016
5.999208,7.7,2016
5.9922,7.91,2016
5.988763,7.2,2016
5.989879,7.58,2016
5.986877,7.43,2016
5.985742,7.73,2016
5.986708,7.7,2016
5.986177,7.4,2016
6.113727,7.57,2016
5.985368,7.74,2016
5.985546,7.5,2016
5.950059,7.68,2016
5.949291,,2016
5.95001,,2016
5.976556,,2016
5.976789,,2016
5.981126,,2016
5.989154,,2016
5.984762,,2016
5.985124,,2016
5.987129,,2016
6.003308,,2016
5.996524,,2016
6.007197,,2016
5.99102,,2016
5.987332,,2016
5.988857,,2016
5.988059,,2016
5.990363,,2016
5.988325,,2016
5.987823,,2016
5.98702,,2016
5.986453,,2016
5.987695,,2016
5.990638,,2016
5.986122,,2016
5.9853,,2016
5.946312,,2016
5.951998,,2016
5.955845,,2016
5.953556,,2016
5.951087,,2016
5.951445,,2016
5.952295,,2016
5.97709,,2016
5.97851,,2016
5.982095,,2016
5.985907,,2016
5.988939,,2016
5.987387,,2016
5.989933,,2016
6.01253,,2016
6.030517,,2016
6.012926,,2016
5.991198,,2016
5.98713,,2016
5.988778,,2016
5.987957,,2016
5.987753,,2016
5.989098,,2016
5.987864,,2016
5.989842,,2016
5.989096,,2016
5.987864,,2016
5.987439,,2016
6.017211,,2016
5.987865,,2016
5.986359,,2016
5.951382,,2016
5.959687,,2016
5.963402,,2016
5.956939,,2016
5.952155,,2016
5.954485,,2016
5.956781,,2016
5.958184,,2016
5.979877,,2016
5.980859,,2016
5.984953,,2016
5.987019,,2016
5.992341,,2016
5.998705,,2016
6.003427,,2016
6.013868,,2016
6.028005,,2016
6.005104,,2016
5.992375,,2016
5.989106,,2016
5.990134,,2016
5.987242,,2016
5.986969,,2016
5.988521,,2016
5.997611,,2016
5.994702,,2016
5.992982,,2016
5.99186,,2016
5.990539,,2016
5.991088,,2016
5.992705,,2016
5.988585,,2016
5.961975,,2016
5.969302,,2016
5.967409,,2016
5.959557,,2016
5.955611,,2016
5.961094,,2016
5.972835,,2016
5.975737,,2016
5.988665,,2016
5.990958,,2016
5.998043,,2016
6.005281,,2016
6.00105,,2016
5.997486,,2016
5.999913,,2016
6.022118,,2016
6.040806,,2016
6.007906,,2016
5.998738,,2016
5.995191,,2016
5.986137,,2016
5.987609,,2016
5.992221,,2016
5.994719,,2016
6.013939,,2016
5.998333,,2016
5.99061,,2016
5.992995,,2016
5.993439,,2016
5.987941,,2016
5.98825,,2016
5.982184,,2016
5.964667,,2016
5.955495,,2016
5.95278,,2016
5.959606,,2016
5.995117,,2016
5.971679,,2016
5.987702,,2016
5.99391,,2016
6.009124,,2016
5.997621,,2016
5.995888,,2016
5.994939,,2016
5.995742,,2016
6.001439,,2016
6.001892,,2016
6.000038,,2016
5.999567,,2016
5.992827,,2016
5.98478,,2016
5.985813,,2016
5.986876,,2016
5.992626,,2016
5.988791,,2016
5.984614,,2016
5.988381,,2016
5.986643,,2016
5.972993,,2016
5.997253,,2016
5.965883,,2016
5.95539,,2016
5.955103,,2016
5.962047,,2016
5.97766,,2016
5.971005,,2016
5.992797,,2016
5.993108,,2016
6.00101,,2016
6.024755,,2016
6.003898,,2016
6.000012,,2016
5.998989,,2016
5.998399,,2016
6.001699,,2016
6.000196,,2016
6.001117,,2016
5.998065,,2016
5.995609,,2016
5.982777,,2016
5.984192,,2016
5.994055,,2016
6.020629,,2016
5.981468,,2016
5.985354,,2016
5.9841,,2016
5.972381,,2016
5.985477,,2016
5.984719,,2016
5.963653,,2016
5.953862,,2016
5.954979,,2016
5.962061,,2016
5.971059,,2016
5.970009,,2016
5.996274,,2016
6.005183,,2016
6.022291,,2016
6.005075,,2016
6.001884,,2016
6.0004,,2016
5.999332,,2016
6.002247,,2016
6.000841,,2016
6.000708,,2016
6.007269,,2016
5.998647,,2016
5.983294,,2016
5.981471,,2016
5.980897,,2016
5.983502,,2016
5.948999,,2016
6.084321,,2016
5.9964,,2016
6.000732,,2016
5.957065,,2016
5.954168,,2016
5.956363,,2016
5.963495,,2016
5.973911,,2016
5.97269,,2016
5.998708,,2016
6.000993,,2016
6.016854,,2016
6.005963,,2016
6.003667,,2016
6.001793,,2016
6.00038,,2016
6.003725,,2016
6.002993,,2016
6.002042,,2016
6.015395,,2016
5.933865,,2016
5.943715,,2016
5.952351,,2016
6.211759,,2016
6.078074,,2016
5.992079,,2016
5.955387,,2016
5.957217,,2016
5.959607,,2016
5.967993,,2016
5.978892,,2016
5.98006,,2016
6.004954,,2016
6.020436,,2016
6.01008,,2016
6.007075,,2016
6.004527,,2016
6.003088,,2016
6.007146,,2016
6.005268,,2016
6.007655,,2016
6.000382,,2016
5.996996,,2016
5.928107,,2016
5.930136,,2016
5.932486,,2016
5.943572,,2016
5.951801,,2016
5.953501,,2016
6.0612,,2016
6.619328,,2016
5.95486,,2016
5.955739,,2016
5.958254,,2016
5.961451,,2016
5.975032,,2016
5.98741,,2016
5.977591,,2016
6.008714,,2016
6.026228,,2016
6.012374,,2016
6.007936,,2016
6.004956,,2016
6.004432,,2016
6.008031,,2016
6.001667,,2016
6.00066,,2016
5.930955,,2016
5.935008,,2016
5.948881,,2016
5.958257,,2016
5.956411,,2016
5.95481,,2016
5.959589,,2016
5.958293,,2016
5.95724,,2016
5.958579,,2016
5.963709,,2016
5.972832,,2016
5.986433,,2016
5.978916,,2016
5.979401,,2016
6.016971,,2016
6.039,,2016
6.018396,,2016
6.012225,,2016
6.009254,,2016
6.016296,,2016
6.009748,,2016
6.003482,,2016
6.006214,,2016
5.999895,,2016
5.931863,,2016
5.937048,,2016
5.967748,,2016
5.962584,,2016
5.975548,,2016
5.95451,,2016
5.995578,,2016
5.95768,,2016
5.958872,,2016
5.961368,,2016
5.969291,,2016
6.028984,,2016
5.989336,,2016
5.980893,,2016
6.025851,,2016
6.042948,,2016
6.024333,,2016
6.016351,,2016
6.013583,,2016
6.067288,,2016
6.009272,,2016
6.00541,,2016
6.00305,,2016
5.999004,,2016
5.933847,,2016
5.943392,,2016
6.066305,,2016
5.959873,,2016
5.965577,,2016
5.958595,,2016
5.954189,,2016
5.959627,,2016
5.962077,,2016
5.965407,,2016
5.975616,,2016
5.981413,,2016
5.985331,,2016
5.988134,,2016
5.994889,,2016
6.001337,,2016
6.032966,,2016
6.039838,,2016
6.041564,,2016
6.036188,,2016
6.047249,,2016
6.030732,,2016
6.023297,,2016
6.018221,,2016
6.013957,,2016
6.014542,,2016
6.010801,,2016
6.006668,,2016
6.002189,,2016
5.930879,,2016
5.935009,,2016
5.941466,,2016
5.983895,,2016
6.097795,,2016
5.977373,,2016
5.989566,,2016
5.952436,,2016
5.960896,,2016
5.964207,,2016
5.965365,,2016
5.968969,,2016
5.981592,,2016
5.977103,,2016
5.992855,,2016
6.026511,,2016
5.99984,,2016
6.002017,,2016
6.069911,,2016
6.061993,,2016
6.046491,,2016
6.047091,,2016
6.059106,,2016
6.032742,,2016
6.025451,,2016
6.028741,,2016
6.03126,,2016
6.02977,,2016
6.021843,,2016
6.007629,,2016
5.949406,,2016
5.953156,,2016
5.96079,,2016
5.966675,,2016
5.966441,,2016
5.967938,,2016
6.142045,,2016
5.970393,,2016
5.974599,,2016
5.986803,,2016
5.992232,,2016
5.989978,,2016
5.991549,,2016
6.004058,,2016
6.001667,,2016
6.016379,,2016
6.020576,,2016
6.019205,,2016
6.05231,,2016
6.114747,,2016
6.165664,,2016
6.12855,,2016
6.091598,,2016
6.068818,,2016
6.062376,,2016
6.072065,,2016
6.048396,,2016
6.038995,,2016
6.03052,,2016
6.03361,,2016
6.04083,,2016
6.035697,,2016
6.017249,,2016
5.951214,,2016
5.954882,,2016
5.959452,,2016
5.959852,,2016
5.962822,,2016
5.968376,,2016
5.969536,,2016
5.975502,,2016
5.981653,,2016
5.998134,,2016
6.023522,,2016
5.994905,,2016
5.996298,,2016
6.007831,,2016
6.007422,,2016
6.018305,,2016
6.017687,,2016
6.021512,,2016
6.072279,,2016
6.331656,,2016
6.160933,,2016
6.11428,,2016
6.100388,,2016
6.071419,,2016
6.054682,,2016
6.042651,,2016
6.030029,,2016
6.027129,,2016
6.022854,,2016
6.018739,,2016
5.950446,,2016
5.957045,,2016
5.956191,,2016
5.957134,,2016
5.956934,,2016
5.965887,,2016
5.9691,,2016
5.973903,,2016
6.010798,,2016
5.987662,,2016
5.996081,,2016
6.003071,,2016
6.00933,,2016
6.002697,,2016
6.021416,,2016
6.026257,,2016
6.023324,,2016
6.033229,,2016
6.083152,,2016
6.308316,,2016
6.233714,,2016
6.157076,,2016
6.169707,,2016
6.23921,,2016
6.039421,,2016
6.02873,,2016
5.949886,,2016
5.951228,,2016
5.952757,,2016
5.954031,,2016
5.968495,,2016
5.974799,,2016
5.980585,,2016
5.980873,,2016
5.991477,,2016
5.998593,,2016
6.006279,,2016
6.005127,,2016
6.011385,,2016
6.018762,,2016
6.024869,,2016
6.070197,,2016
6.106901,,2016
6.23685,,2016
6.248487,,2016
6.16587,,2016
6.21689,,2016
6.402226,,2016
6.089742,,2016
5.96815,,2016
5.971633,,2016
5.974751,,2016
5.978246,,2016
5.986503,,2016
5.994742,,2016
6.009575,,2016
6.016235,,2016
6.014352,,2016
6.020985,,2016
6.031691,,2016
6.05178,,2016
6.126483,,2016
6.189031,,2016
7.110289,,2016
6.244126,,2016
6.152528,,2016
6.218731,,2016
6.212079,,2016
6.157349,,2016
6.076735,,2016
6.046759,,2016
6.011525,,2016
6.007616,,2016
5.964754,,2016
5.967321,,2016
5.970531,,2016
5.974124,,2016
5.983083,,2016
5.992584,,2016
6.003686,,2016
6.030571,,2016
6.017231,,2016
6.028523,,2016
6.036286,,2016
6.048149,,2016
6.095344,,2016
6.274398,,2016
6.301748,,2016
6.179018,,2016
6.110552,,2016
6.112715,,2016
6.128952,,2016
6.081954,,2016
6.034227,,2016
6.010476,,2016
6.007637,,2016
6.003664,,2016
5.974248,,2016
5.985433,,2016
5.993435,,2016
6.002427,,2016
6.042449,,2016
6.054461,,2016
6.06881,,2016
6.04565,,2016
6.051772,,2016
6.086231,,2016
6.132168,,2016
6.141393,,2016
6.138924,,2016
6.091931,,2016
6.096612,,2016
6.080502,,2016
6.050661,,2016
6.036063,,2016
6.025421,,2016
6.012912,,2016
6.010949,,2016
6.006306,,2016
5.978359,,2016
5.992707,,2016
5.996423,,2016
6.008601,,2016
6.061866,,2016
6.293365,,2016
6.089829,,2016
6.043558,,2016
6.052009,,2016
6.123807,,2016
6.144051,,2016
6.10047,,2016
6.079166,,2016
6.062479,,2016
6.06271,,2016
6.059731,,2016
6.033633,,2016
6.024663,,2016
6.010713,,2016
6.015673,,2016
6.009601,,2016
6.005348,,2016
5.99677,,2016
5.99841,,2016
5.997836,,2016
5.999427,,2016
5.97958,,2016
6.020175,,2016
5.997864,,2016
6.017753,,2016
6.065627,,2016
6.057048,,2016
6.043379,,2016
6.036316,,2016
6.054423,,2016
6.06761,,2016
6.061113,,2016
6.064774,,2016
6.051215,,2016
6.052711,,2016
6.057724,,2016
6.03078,,2016
6.025602,,2016
6.018399,,2016
6.011276,,2016
6.014038,,2016
6.014826,,2016
6.00861,,2016
5.996531,,2016
5.999314,,2016
6.016877,,2016
6.00001,,2016
5.999816,,2016
5.980871,,2016
5.991067,,2016
6.00119,,2016
6.045616,,2016
6.093626,,2016
6.036888,,2016
6.031429,,2016
6.037879,,2016
6.043416,,2016
6.04798,,2016
6.036676,,2016
6.045562,,2016
6.049503,,2016
6.055994,,2016
6.029902,,2016
6.026542,,2016
6.021408,,2016
6.011719,,2016
6.010985,,2016
6.009784,,2016
6.009634,,2016
5.997173,,2016
5.997857,,2016
5.990414,,2016
6.002274,,2016
6.015538,,2016
6.044524,,2016
6.029103,,2016
6.032234,,2016
6.039641,,2016
6.037801,,2016
6.028643,,2016
6.022101,,2016
6.039711,,2016
6.078686,,2016
6.026487,,2016
6.023985,,2016
6.023051,,2016
6.015723,,2016
6.011115,,2016
6.008556,,2016
6.012924,,2016
6.006083,,2016
6.005515,,2016
5.995131,,2016
6.015572,,2016
6.020675,,2016
6.038879,,2016
6.110712,,2016
6.058183,,2016
6.034273,,2016
6.021942,,2016
6.017563,,2016
6.05454,,2016
6.029134,,2016
6.024091,,2016
6.033309,,2016
6.016571,,2016
6.013435,,2016
6.010493,,2016
6.009202,,2016
6.007531,,2016
6.003731,,2016
5.995788,,2016
5.995402,,2016
6.000039,,2016
6.019603,,2016
6.013943,,2016
6.01071,,2016
6.054513,,2016
6.080451,,2016
6.104801,,2016
6.033629,,2016
6.018364,,2016
6.014696,,2016
6.054686,,2016
6.025492,,2016
6.020434,,2016
6.111861,,2016
6.008113,,2016
6.011158,,2016
6.010744,,2016
6.009929,,2016
6.007344,,2016
6.006101,,2016
6.007763,,2016
6.002111,,2016
6.003013,,2016
5.992239,,2016
6.012742,,2016
6.03654,,2016
6.011233,,2016
6.010755,,2016
6.01635,,2016
6.021331,,2016
6.056261,,2016
6.026445,,2016
6.018116,,2016
6.014089,,2016
6.05083,,2016
6.025543,,2016
6.016205,,2016
6.010273,,2016
6.006949,,2016
6.012844,,2016
6.014842,,2016
6.016371,,2016
6.018904,,2016
6.013478,,2016
6.01279,,2016
6.016222,,2016
6.021325,,2016
6.017108,,2016
6.022261,,2016
6.003841,,2016
5.982856,,2016
6.028296,,2016
6.077557,,2016
6.039301,,2016
6.007945,,2016
6.011061,,2016
6.017283,,2016
6.019244,,2016
6.044913,,2016
6.04149,,2016
6.039773,,2016
