PM10 level,Happiness,Year
4.874836,7.59,2018
4.86868,7.65,2018
4.877372,7.84,2018
4.878715,7.26,2018
4.880319,7.35,2018
4.880865,7.82,2018
4.86994,7.7,2018
4.879533,7.75,2018
4.881656,7.58,2018
4.883628,7.47,2018
4.884394,7.58,2018
4.888176,7.77,2018
4.902482,7.6,2018
4.904061,7.66,2018
4.87159,7.25,2018
4.882298,7.8,2018
4.885404,7.75,2018
4.889003,7.7,2018
4.889548,7.59,2018
4.897146,7.49,2018
4.919805,7.74,2018
4.910766,7.66,2018
4.870746,7.58,2018
4.871563,7.49,2018
4.873807,7.93,2018
4.885384,7.53,2018
4.891764,7.31,2018
4.893824,7.8,2018
4.897335,7.3,2018
4.91778,7.96,2018
4.943445,8.02,2018
4.917974,7.66,2018
4.904909,7.66,2018
4.870429,7.53,2018
4.871344,7.46,2018
4.874536,7.66,2018
4.888234,7.55,2018
4.899205,7.68,2018
4.90093,7.75,2018
4.909222,7.15,2018
4.99389,7.49,2018
4.966621,7.59,2018
4.927957,7.6,2018
4.872297,7.72,2018
4.873663,7.87,2018
4.880262,7.46,2018
4.895066,7.54,2018
4.907735,7.79,2018
4.910637,7.83,2018
4.93839,7.4,2018
5.312047,7.54,2018
4.981893,7.49,2018
4.951654,7.27,2018
4.874107,7.61,2018
4.874472,7.82,2018
4.876914,7.98,2018
4.896511,7.61,2018
4.907008,7.84,2018
4.905883,7.99,2018
4.917364,7.75,2018
5.000992,7.6,2018
5.095663,7.84,2018
5.121079,8.15,2018
4.960536,7.72,2018
4.874833,7.6,2018
4.885861,7.23,2018
4.895206,7.63,2018
4.968503,8.04,2018
4.904361,7.5,2018
4.918885,7.58,2018
5.191216,7.79,2018
5.435087,7.71,2018
5.061175,7.51,2018
4.92987,7.73,2018
4.87584,7.62,2018
4.922721,7.65,2018
4.892934,7.85,2018
4.907384,7.75,2018
4.91404,7.51,2018
4.940876,7.51,2018
5.152123,7.6,2018
5.177464,7.75,2018
4.8759,7.65,2018
4.882541,7.38,2018
4.899857,7.68,2018
4.91995,7.58,2018
4.938222,7.3,2018
5.03547,7.24,2018
5.014638,7.59,2018
5.573929,7.82,2018
4.911385,7.82,2018
4.87826,7.71,2018
4.893585,7.83,2018
4.911197,7.67,2018
4.926661,7.3,2018
4.945312,8.07,2018
4.953573,7.36,2018
4.931722,8,2018
4.923364,7.67,2018
4.906436,7.62,2018
4.889135,7.69,2018
4.880094,7.68,2018
4.883955,7.87,2018
4.943826,7.71,2018
4.909837,7.59,2018
4.924389,7.63,2018
4.924932,7.67,2018
4.917367,7.55,2018
4.958817,7.54,2018
4.977817,7.9,2018
4.940917,7.6,2018
4.883542,7.43,2018
4.855817,7.35,2018
4.859987,7.32,2018
4.878274,7.79,2018
4.884847,7.67,2018
4.906579,7.45,2018
5.204188,7.62,2018
4.920217,7.64,2018
4.934337,7.91,2018
4.9317,7.7,2018
4.907062,7.66,2018
5.035691,7.37,2018
4.883047,7.49,2018
4.883079,7.64,2018
4.856415,7.58,2018
4.864178,7.42,2018
4.873244,7.5,2018
4.876014,7.62,2018
4.890006,7.9,2018
4.916207,7.58,2018
4.90952,7.68,2018
4.889628,7.57,2018
4.99625,7.69,2018
4.88764,7.88,2018
5.078529,7.48,2018
4.976072,6.71,2018
4.942459,7.63,2018
4.896735,7.38,2018
4.883174,8.14,2018
4.855721,7.84,2018
4.8795,7.78,2018
4.874364,7.75,2018
4.888544,8.29,2018
4.912434,7.57,2018
4.951268,8.05,2018
4.946025,7.55,2018
4.907261,7.62,2018
4.896158,7.73,2018
4.895258,7.76,2018
4.895717,7.38,2018
4.891642,7.38,2018
5.003206,7.6,2018
5.244976,7.26,2018
5.012422,7.3,2018
4.885484,7.38,2018
4.880012,7.26,2018
4.857075,7.55,2018
4.966557,7.54,2018
4.871695,7.28,2018
4.907749,7.73,2018
4.992786,7.5,2018
4.95585,7.38,2018
4.932805,7.67,2018
4.925625,7.44,2018
4.914295,7.55,2018
4.908332,7.84,2018
4.899252,7.47,2018
4.91496,7.78,2018
4.989727,7.61,2018
4.954772,7.35,2018
4.901438,7.36,2018
4.882578,7.61,2018
4.877276,7.4,2018
4.859343,7.67,2018
4.872224,7.73,2018
4.87459,7.59,2018
4.917629,7.57,2018
5.427719,7.45,2018
4.94871,7.48,2018
4.922997,7.79,2018
5.026899,7.51,2018
4.926041,7.53,2018
4.943195,7.58,2018
4.900136,7.39,2018
5.027527,7.43,2018
5.198579,7.47,2018
5.170571,7.59,2018
4.888647,7.6,2018
4.885002,7.45,2018
