PM10 level,Happiness,Year
4.820251,7.5,2019
4.811911,7.3,2019
4.822474,7.21,2019
4.824063,7.36,2019
4.825816,7.39,2019
4.82624,7.31,2019
4.812965,7.26,2019
4.824237,7.71,2019
4.826535,7.51,2019
4.828796,7.51,2019
4.829531,7.58,2019
4.832815,7.59,2019
4.847735,7.26,2019
4.848932,7.73,2019
4.814446,7.33,2019
4.826591,7.47,2019
4.829628,7.19,2019
4.833333,7.7,2019
4.834205,7.8,2019
4.841121,7.42,2019
4.863712,7.7,2019
4.854752,7.65,2019
4.813779,7.52,2019
4.814381,7.52,2019
4.816322,7.83,2019
4.829215,7.48,2019
4.834859,7.56,2019
4.83721,7.9,2019
4.840961,7.85,2019
4.860124,7.76,2019
4.885084,7.81,2019
4.860266,7.34,2019
4.847278,7.65,2019
4.81167,7.47,2019
4.812298,7.49,2019
4.815136,7.3,2019
4.83,7.34,2019
4.840023,7.61,2019
4.840801,7.62,2019
4.849341,7.38,2019
4.929687,7.51,2019
4.902653,7.51,2019
4.866158,7.49,2019
4.813303,7.56,2019
4.814323,7.86,2019
4.820439,7.24,2019
4.835845,7.53,2019
4.846365,7.61,2019
4.84773,7.59,2019
4.872838,7.38,2019
5.241581,7.31,2019
4.913476,7.58,2019
4.884033,7.23,2019
4.815291,7.5,2019
4.8153,7.72,2019
4.817457,7.69,2019
4.836573,7.86,2019
4.847999,7.15,2019
4.844946,7.58,2019
4.852685,8.02,2019
4.926734,7.96,2019
5.015729,7.33,2019
5.019765,8.01,2019
4.892631,7.69,2019
4.815419,7.56,2019
4.825857,7.61,2019
4.834768,7.49,2019
4.909104,7.51,2019
4.843523,7.49,2019
4.854734,7.72,2019
5.113947,7.47,2019
5.258865,7.53,2019
4.984179,7.56,2019
4.86958,7.57,2019
4.816091,7.35,2019
4.862238,7.73,2019
4.831379,7.58,2019
4.846538,7.6,2019
4.851265,7.54,2019
4.874224,7.49,2019
5.076606,7.54,2019
5.090269,7.53,2019
4.814123,7.53,2019
4.819946,7.32,2019
4.83576,7.58,2019
4.854579,7.53,2019
4.869484,7.39,2019
4.965001,7.74,2019
4.942911,7.6,2019
5.504093,7.55,2019
4.848128,7.44,2019
4.815986,7.46,2019
4.830325,7.41,2019
4.846193,7.71,2019
4.860885,7.01,2019
