PM25 level,Happiness,Year
5.780054,7.53,2013
5.761108,7.5,2013
5.781968,7.26,2013
5.782147,7.54,2013
5.782629,7.61,2013
5.783147,7.75,2013
5.762693,7.32,2013
5.784027,7.4,2013
5.784777,7.36,2013
5.786059,7.31,2013
5.786705,7.35,2013
5.788294,7.2,2013
5.803401,7.09,2013
5.803619,7.46,2013
5.765587,7.44,2013
5.787914,7.52,2013
5.788654,7.05,2013
5.793063,6.83,2013
5.792254,7.38,2013
5.795011,7.48,2013
5.815676,7.85,2013
5.809222,7.37,2013
5.763668,6.99,2013
5.765397,7.17,2013
5.767663,7.47,2013
5.790637,7.59,2013
5.795671,7.62,2013
5.796135,7.12,2013
5.79847,7.72,2013
5.806953,7.69,2013
5.827601,7.55,2013
5.813225,7.02,2013
5.803194,7.27,2013
5.766669,7.58,2013
5.768479,7.79,2013
5.77155,7.75,2013
5.799527,7.42,2013
5.821795,7.36,2013
5.811913,7.48,2013
5.810733,7.54,2013
5.852504,7.72,2013
5.839749,7.17,2013
5.815776,7.39,2013
5.768336,7.51,2013
5.770484,8.18,2013
5.776202,7.22,2013
5.808923,7.63,2013
5.860043,7.53,2013
5.825815,7.29,2013
5.834833,7.28,2013
6.033767,7.35,2013
5.842096,7.24,2013
5.81914,7.1,2013
5.768345,7.49,2013
5.77081,7.47,2013
5.773825,7.78,2013
5.788625,7.58,2013
5.814044,7.4,2013
5.821854,7.41,2013
5.836094,7.46,2013
5.889153,7.44,2013
5.883691,6.88,2013
5.849952,7.49,2013
5.818264,7.63,2013
5.771036,7.49,2013
5.782302,7.57,2013
5.792465,8.02,2013
5.848092,7.3,2013
5.816913,7.26,2013
5.825852,7.3,2013
5.944966,7.61,2013
5.883419,7.45,2013
5.850469,7.37,2013
5.811621,7.5,2013
5.771921,7.61,2013
5.79941,7.36,2013
5.798524,7.52,2013
5.833488,7.52,2013
5.836597,7.51,2013
5.848022,7.32,2013
5.947651,7.27,2013
5.931709,7.52,2013
5.774662,7.25,2013
5.781801,7.28,2013
5.8032,7.42,2013
5.877162,7.48,2013
5.935437,7.4,2013
6.011725,7.35,2013
5.939013,7.69,2013
6.168097,7.57,2013
5.821739,7.41,2013
5.777445,7.48,2013
5.788854,7.3,2013
5.809149,6.94,2013
5.898958,7.65,2013
5.896851,7.67,2013
5.909949,7.35,2013
5.846892,7.63,2013
5.827409,7.28,2013
5.819797,7.77,2013
5.806524,7.6,2013
5.778327,7.43,2013
5.783099,7.59,2013
5.814935,7.59,2013
5.803174,7.43,2013
5.837052,7.62,2013
5.836409,7.3,2013
5.834395,6.83,2013
5.847567,7.36,2013
5.85004,7.66,2013
5.836251,7.59,2013
5.803876,7.37,2013
5.744956,7.38,2013
5.74716,7.49,2013
5.768531,7.65,2013
5.783119,7.14,2013
5.796113,7.37,2013
5.944607,7.35,2013
5.804694,7.37,2013
5.832438,7.43,2013
5.828127,7.23,2013
5.81595,7.6,2013
5.876736,7.06,2013
5.799984,7.54,2013
5.804698,7.46,2013
5.746333,7.47,2013
5.750432,7.33,2013
5.756045,7.24,2013
5.769885,7.55,2013
5.779283,7.57,2013
5.796417,7.32,2013
5.79456,7.37,2013
5.786955,7.61,2013
5.845902,7.47,2013
5.787208,7.63,2013
5.884737,7.63,2013
5.849903,7.7,2013
5.829649,7.83,2013
5.805679,7.38,2013
5.798002,7.72,2013
5.749266,7.5,2013
5.761731,7.63,2013
5.761755,7.46,2013
5.793636,7.67,2013
5.801564,7.7,2013
5.838717,7.37,2013
5.886206,7.84,2013
5.811809,7.67,2013
5.796446,7.56,2013
5.792339,7.54,2013
5.79915,7.18,2013
5.797075,6.81,2013
5.852677,7.19,2013
5.984301,7.28,2013
5.867055,7.2,2013
5.804405,7.61,2013
5.79845,7.17,2013
5.751178,7.42,2013
5.805986,7.37,2013
5.759462,7.29,2013
5.788646,7.52,2013
5.833245,7.51,2013
5.827984,7.11,2013
5.930396,7.16,2013
5.834038,7.53,2013
5.801248,7.3,2013
5.799176,7.31,2013
5.800785,7.58,2013
5.838909,7.28,2013
5.848702,7.2,2013
5.840176,7.4,2013
5.813381,7.2,2013
5.802951,7.49,2013
5.795687,7.35,2013
5.753706,7.47,2013
5.759638,7.49,2013
5.761065,7.57,2013
5.792575,7.22,2013
6.048384,7.25,2013
5.813103,7.54,2013
5.804204,7.28,2013
5.829593,7.13,2013
5.800802,7.17,2013
5.813353,7.4,2013
5.796905,7.4,2013
5.865676,7.24,2013
5.955578,7.45,2013
5.956068,7.43,2013
5.81558,7.46,2013
5.810337,7.25,2013
5.801835,7.19,2013
5.757764,7.4,2013
5.765303,7.12,2013
5.763335,7.38,2013
5.886968,7.26,2013
5.840533,7.34,2013
5.813498,7.34,2013
5.785699,7.31,2013
5.788634,7.46,2013
5.798378,7.71,2013
5.814561,6.72,2013
5.796248,7.31,2013
5.827503,7.58,2013
5.849244,7.74,2013
5.865451,7.63,2013
5.838153,7.21,2013
5.825362,7.28,2013
5.811035,7.44,2013
5.773736,7.11,2013
5.768865,7.14,2013
5.767657,7.1,2013
5.778757,7.18,2013
6.045327,7.33,2013
5.819442,7.28,2013
5.784617,7.54,2013
5.799066,7.46,2013
5.806236,7.36,2013
5.797659,7.18,2013
5.793912,7.26,2013
5.804706,7.95,2013
5.87872,7.53,2013
5.923373,7.21,2013
5.831765,6.95,2013
5.826228,7.1,2013
5.811749,7.82,2013
5.886627,7.87,2013
5.800692,6.82,2013
5.797463,7.63,2013
5.803942,7.59,2013
6.095129,7.14,2013
5.853715,7.16,2013
5.823147,7.32,2013
5.881392,7.17,2013
5.832817,7.12,2013
5.812867,7.47,2013
5.812358,7.43,2013
5.814867,7.2,2013
5.821948,7.37,2013
5.831153,7.51,2013
5.821785,7.66,2013
5.815144,7.8,2013
5.77916,7.79,2013
5.83338,7.63,2013
5.883453,7.95,2013
5.832829,7.28,2013
5.809897,7.59,2013
5.924971,7.32,2013
5.840503,7.24,2013
5.903045,7.38,2013
5.898739,7.27,2013
5.82292,7.34,2013
5.809871,7.35,2013
5.806671,7.37,2013
5.819146,7.26,2013
5.812754,7.29,2013
5.808253,7.32,2013
5.780949,7.29,2013
5.779168,7.39,2013
5.780015,7.3,2013
5.803918,7.52,2013
5.792393,7.37,2013
5.808646,7.49,2013
5.845307,7.33,2013
5.948158,7.56,2013
5.883688,7.45,2013
5.934607,7.44,2013
5.812858,7.86,2013
5.807999,7.39,2013
5.809998,7.89,2013
5.808414,7.28,2013
5.726086,8.01,2013
5.727825,7.15,2013
5.781322,7.17,2013
5.780835,7.23,2013
5.782289,7.5,2013
5.785724,7.56,2013
5.799086,7.37,2013
5.808332,7.04,2013
5.82133,7.55,2013
5.86664,8.06,2013
5.819165,7.69,2013
5.809674,7.15,2013
5.810851,7.47,2013
5.803456,7.23,2013
5.801518,7.93,2013
5.7278,7.42,2013
5.772446,7.43,2013
5.782754,7.38,2013
5.784415,7.52,2013
5.78508,7.32,2013
5.787983,7.48,2013
5.792521,7.24,2013
5.810423,7.51,2013
5.815392,7.66,2013
5.816483,7.59,2013
5.814773,7.38,2013
5.807433,7.54,2013
5.810999,7.55,2013
5.802837,7.46,2013
5.800889,7.23,2013
5.799769,7.6,2013
5.808263,7.87,2013
5.731352,7.44,2013
5.733564,7.56,2013
5.775639,7.54,2013
5.788358,7.68,2013
5.791787,7.57,2013
5.791953,7.45,2013
5.7944,7.35,2013
5.80026,7.35,2013
5.820561,7.51,2013
5.826509,7.27,2013
5.858867,7.67,2013
5.821743,7.64,2013
5.809373,7.19,2013
5.813152,7.37,2013
5.80472,7.36,2013
5.802703,7.43,2013
5.81109,7.53,2013
5.809647,7.24,2013
5.872077,7.28,2013
5.806982,7.3,2013
5.806125,7.46,2013
5.735207,7.6,2013
5.735937,,2013
5.740314,,2013
5.780592,,2013
5.777481,,2013
5.791434,,2013
5.814285,,2013
5.799565,,2013
5.800656,,2013
5.809477,,2013
5.848121,,2013
5.863002,,2013
5.861034,,2013
5.826847,,2013
5.812493,,2013
5.815106,,2013
5.809735,,2013
5.81254,,2013
5.80874,,2013
5.813828,,2013
5.811464,,2013
5.808846,,2013
5.810705,,2013
5.809809,,2013
5.812519,,2013
5.810736,,2013
5.716345,,2013
5.720822,,2013
5.725994,,2013
5.725206,,2013
5.740904,,2013
5.743849,,2013
5.747769,,2013
5.781169,,2013
5.780184,,2013
5.793488,,2013
5.804814,,2013
5.81902,,2013
5.807899,,2013
5.821206,,2013
5.924159,,2013
6.200766,,2013
5.911119,,2013
5.836466,,2013
5.815649,,2013
5.817306,,2013
5.813172,,2013
5.810886,,2013
5.811471,,2013
5.808494,,2013
5.818717,,2013
5.815996,,2013
5.811527,,2013
5.81038,,2013
5.824755,,2013
5.815806,,2013
5.812471,,2013
5.720405,,2013
5.727646,,2013
5.734396,,2013
5.730361,,2013
5.729668,,2013
5.749512,,2013
5.760612,,2013
5.76897,,2013
5.784136,,2013
5.784018,,2013
5.796786,,2013
5.801128,,2013
5.808678,,2013
5.822714,,2013
5.845755,,2013
5.906082,,2013
5.967802,,2013
5.923302,,2013
5.838918,,2013
5.818665,,2013
5.819786,,2013
5.810151,,2013
5.807779,,2013
5.810192,,2013
5.835064,,2013
5.829148,,2013
5.824736,,2013
5.819238,,2013
5.817804,,2013
5.821078,,2013
5.823667,,2013
5.814283,,2013
5.726204,,2013
5.733089,,2013
5.73319,,2013
5.73063,,2013
5.732894,,2013
5.761643,,2013
5.805875,,2013
5.804675,,2013
5.787998,,2013
5.791377,,2013
5.807513,,2013
5.813046,,2013
5.81069,,2013
5.811997,,2013
5.826369,,2013
5.921031,,2013
6.02406,,2013
5.867253,,2013
5.831986,,2013
5.81831,,2013
5.806771,,2013
5.808422,,2013
5.824994,,2013
5.834808,,2013
5.887596,,2013
5.832811,,2013
5.818568,,2013
5.824514,,2013
5.823579,,2013
5.813408,,2013
5.742735,,2013
5.741189,,2013
5.734101,,2013
5.73221,,2013
5.737592,,2013
5.772897,,2013
5.936923,,2013
5.811499,,2013
5.794098,,2013
5.821903,,2013
5.854642,,2013
5.819621,,2013
5.811381,,2013
5.812506,,2013
5.820684,,2013
5.845658,,2013
5.852392,,2013
5.841048,,2013
5.837358,,2013
5.820065,,2013
5.809659,,2013
5.817693,,2013
5.817551,,2013
5.821735,,2013
5.821202,,2013
5.81245,,2013
5.821452,,2013
5.819966,,2013
5.735351,,2013
5.749321,,2013
5.735846,,2013
5.733932,,2013
5.74225,,2013
5.770895,,2013
5.824411,,2013
5.789503,,2013
5.803203,,2013
5.798904,,2013
5.826111,,2013
5.887566,,2013
5.825632,,2013
5.81344,,2013
5.812892,,2013
5.815536,,2013
5.829644,,2013
5.831144,,2013
5.835316,,2013
5.828017,,2013
5.822468,,2013
5.806407,,2013
5.814177,,2013
5.815955,,2013
5.827963,,2013
5.806525,,2013
5.815321,,2013
5.812799,,2013
5.72066,,2013
5.742199,,2013
5.743902,,2013
5.735939,,2013
5.734288,,2013
5.739368,,2013
5.763427,,2013
5.778505,,2013
5.774633,,2013
5.80171,,2013
5.84336,,2013
5.860946,,2013
5.820984,,2013
5.813636,,2013
5.812946,,2013
5.814151,,2013
5.826135,,2013
5.828195,,2013
5.832071,,2013
5.872448,,2013
5.831291,,2013
5.812114,,2013
5.80749,,2013
5.806147,,2013
5.811696,,2013
5.707932,,2013
5.777222,,2013
5.748276,,2013
5.752813,,2013
5.733692,,2013
5.735473,,2013
5.740794,,2013
5.763455,,2013
5.784561,,2013
5.777924,,2013
5.801573,,2013
5.806864,,2013
5.825903,,2013
5.816749,,2013
5.814685,,2013
5.814411,,2013
5.814634,,2013
5.826844,,2013
5.83376,,2013
5.837194,,2013
5.907432,,2013
5.682183,,2013
5.700897,,2013
5.710702,,2013
5.841246,,2013
5.789758,,2013
5.749207,,2013
5.733792,,2013
5.738597,,2013
5.745143,,2013
5.769621,,2013
5.790397,,2013
5.800373,,2013
5.806311,,2013
5.82526,,2013
5.819528,,2013
5.818333,,2013
5.817653,,2013
5.817642,,2013
5.829823,,2013
5.837542,,2013
5.853102,,2013
5.832859,,2013
5.822325,,2013
5.675959,,2013
5.679772,,2013
5.684066,,2013
5.703829,,2013
5.710513,,2013
5.713157,,2013
5.76825,,2013
6.063421,,2013
5.733844,,2013
5.738027,,2013
5.744249,,2013
5.753551,,2013
5.793676,,2013
5.849573,,2013
5.796376,,2013
5.816599,,2013
5.843707,,2013
5.830947,,2013
5.826063,,2013
5.824366,,2013
5.824652,,2013
5.835834,,2013
5.834229,,2013
5.837361,,2013
5.681271,,2013
5.688564,,2013
5.708646,,2013
5.713687,,2013
5.714394,,2013
5.715715,,2013
5.719123,,2013
5.733901,,2013
5.736681,,2013
5.742685,,2013
5.751539,,2013
5.769387,,2013
5.817235,,2013
5.798368,,2013
5.794122,,2013
5.8296,,2013
5.890057,,2013
5.844669,,2013
5.834102,,2013
5.831307,,2013
5.835673,,2013
5.840579,,2013
5.839318,,2013
5.86953,,2013
5.842628,,2013
5.682815,,2013
5.692447,,2013
5.719578,,2013
5.717321,,2013
5.72572,,2013
5.719051,,2013
5.740353,,2013
5.736415,,2013
5.741068,,2013
5.748218,,2013
5.762978,,2013
5.828413,,2013
5.813424,,2013
5.797198,,2013
5.844008,,2013
5.898532,,2013
5.859901,,2013
5.844213,,2013
5.841056,,2013
5.86764,,2013
5.847239,,2013
5.845921,,2013
5.843094,,2013
5.830623,,2013
5.686426,,2013
5.694372,,2013
5.769939,,2013
5.717709,,2013
5.723268,,2013
5.732386,,2013
5.72754,,2013
5.745108,,2013
5.748259,,2013
5.755704,,2013
5.784896,,2013
5.784266,,2013
5.815337,,2013
5.826343,,2013
5.822322,,2013
5.823317,,2013
5.857515,,2013
5.862672,,2013
5.862785,,2013
5.860419,,2013
5.907168,,2013
5.875926,,2013
5.861326,,2013
5.852495,,2013
5.84965,,2013
5.865377,,2013
5.867006,,2013
5.851171,,2013
5.836526,,2013
5.68047,,2013
5.688212,,2013
5.701879,,2013
5.722812,,2013
5.788803,,2013
5.72858,,2013
5.737948,,2013
5.727788,,2013
5.767045,,2013
5.763262,,2013
5.756722,,2013
5.763189,,2013
5.791336,,2013
5.781745,,2013
5.843472,,2013
6.029743,,2013
5.861094,,2013
5.842564,,2013
5.916489,,2013
5.896675,,2013
5.875565,,2013
5.890879,,2013
5.964572,,2013
5.883441,,2013
5.865783,,2013
5.866374,,2013
5.952946,,2013
5.947079,,2013
5.920417,,2013
5.852456,,2013
5.699706,,2013
5.706916,,2013
5.721209,,2013
5.745753,,2013
5.736712,,2013
5.738824,,2013
5.825273,,2013
5.745293,,2013
5.757048,,2013
5.799759,,2013
5.805088,,2013
5.79492,,2013
5.789726,,2013
5.803743,,2013
5.821576,,2013
5.868698,,2013
5.884823,,2013
5.865562,,2013
5.91553,,2013
6.047613,,2013
6.149797,,2013
6.025683,,2013
5.945949,,2013
5.91305,,2013
5.922427,,2013
5.957378,,2013
5.905405,,2013
5.888306,,2013
5.874352,,2013
5.896415,,2013
6.013199,,2013
6.020006,,2013
5.87042,,2013
5.702413,,2013
5.707365,,2013
5.715743,,2013
5.723039,,2013
5.72807,,2013
5.738691,,2013
5.742854,,2013
5.766649,,2013
5.775656,,2013
5.821763,,2013
5.969583,,2013
5.811624,,2013
5.795413,,2013
5.810925,,2013
5.826428,,2013
5.855768,,2013
5.845447,,2013
5.850264,,2013
5.957547,,2013
6.550278,,2013
6.074128,,2013
5.993926,,2013
5.989511,,2013
5.948038,,2013
5.919094,,2013
5.890073,,2013
5.869295,,2013
5.875826,,2013
5.878591,,2013
5.870521,,2013
5.701021,,2013
5.715209,,2013
5.712427,,2013
5.720473,,2013
5.714827,,2013
5.733835,,2013
5.742024,,2013
5.758922,,2013
5.889838,,2013
5.796626,,2013
5.809681,,2013
5.819654,,2013
5.806572,,2013
5.806234,,2013
5.893416,,2013
5.891897,,2013
5.84622,,2013
5.862179,,2013
5.960386,,2013
6.44779,,2013
6.128003,,2013
6.021653,,2013
6.141132,,2013
6.373389,,2013
5.880715,,2013
5.863503,,2013
5.699809,,2013
5.702372,,2013
5.704858,,2013
5.707459,,2013
5.738629,,2013
5.756424,,2013
5.772553,,2013
5.765885,,2013
5.795368,,2013
5.82133,,2013
5.800927,,2013
5.799656,,2013
5.814298,,2013
5.833747,,2013
5.839147,,2013
5.9133,,2013
5.953051,,2013
6.007763,,2013
5.989172,,2013
6.002782,,2013
6.241291,,2013
6.828665,,2013
5.984389,,2013
5.735366,,2013
5.742353,,2013
5.748448,,2013
5.752914,,2013
5.774981,,2013
5.784642,,2013
5.795048,,2013
5.799642,,2013
5.802547,,2013
5.821239,,2013
5.83467,,2013
5.873339,,2013
6.046036,,2013
6.060434,,2013
6.055631,,2013
5.992352,,2013
5.989958,,2013
6.239707,,2013
6.282576,,2013
6.165343,,2013
5.948227,,2013
5.890081,,2013
5.837334,,2013
5.83128,,2013
5.733098,,2013
5.737481,,2013
5.742723,,2013
5.747459,,2013
5.770087,,2013
5.781673,,2013
5.80192,,2013
5.803437,,2013
5.799258,,2013
5.823262,,2013
5.836096,,2013
5.866734,,2013
5.970406,,2013
6.360713,,2013
6.270725,,2013
6.005249,,2013
5.954442,,2013
5.976166,,2013
5.988262,,2013
5.955079,,2013
5.873574,,2013
5.842863,,2013
5.837694,,2013
5.831287,,2013
5.747119,,2013
5.774315,,2013
5.779484,,2013
5.786841,,2013
5.805123,,2013
5.810241,,2013
5.844028,,2013
5.84602,,2013
5.869034,,2013
5.929685,,2013
5.993769,,2013
6.09512,,2013
5.965559,,2013
5.956115,,2013
5.942744,,2013
5.919581,,2013
5.902538,,2013
5.880913,,2013
5.863745,,2013
5.84926,,2013
5.846588,,2013
5.837752,,2013
5.746867,,2013
5.77176,,2013
5.776722,,2013
5.786546,,2013
5.810968,,2013
5.847107,,2013
5.861426,,2013
5.840424,,2013
5.866813,,2013
6.076591,,2013
6.10654,,2013
5.958694,,2013
5.921675,,2013
5.900426,,2013
5.890045,,2013
5.885424,,2013
5.87273,,2013
5.861243,,2013
5.841318,,2013
5.856149,,2013
5.842972,,2013
5.83546,,2013
5.827266,,2013
5.829386,,2013
5.828417,,2013
5.832538,,2013
5.746688,,2013
5.784577,,2013
5.776487,,2013
5.790763,,2013
5.814383,,2013
5.817369,,2013
5.830058,,2013
5.834918,,2013
5.858882,,2013
5.889337,,2013
5.88223,,2013
5.890174,,2013
5.87823,,2013
5.876084,,2013
5.878562,,2013
5.854374,,2013
5.857368,,2013
5.850677,,2013
5.84191,,2013
5.853822,,2013
5.853558,,2013
5.841904,,2013
5.826932,,2013
5.829369,,2013
5.843917,,2013
5.829948,,2013
5.832621,,2013
5.746592,,2013
5.769111,,2013
5.777769,,2013
5.809307,,2013
5.837399,,2013
5.820383,,2013
5.82916,,2013
5.835261,,2013
5.886254,,2013
5.852544,,2013
5.843281,,2013
5.86293,,2013
5.866546,,2013
5.871076,,2013
5.853154,,2013
5.847213,,2013
5.850872,,2013
5.84171,,2013
5.842406,,2013
5.842748,,2013
5.844092,,2013
5.827067,,2013
5.827755,,2013
5.770913,,2013
5.78064,,2013
5.795669,,2013
5.857055,,2013
5.82398,,2013
5.840027,,2013
5.848244,,2013
5.852576,,2013
5.841126,,2013
5.833308,,2013
5.861264,,2013
5.887192,,2013
5.858858,,2013
5.852408,,2013
5.847413,,2013
5.85064,,2013
5.845626,,2013
5.84427,,2013
5.868284,,2013
5.843203,,2013
5.84449,,2013
5.827374,,2013
5.793801,,2013
5.808018,,2013
5.830368,,2013
5.944583,,2013
5.896602,,2013
5.857375,,2013
5.836579,,2013
5.830338,,2013
5.892756,,2013
5.873513,,2013
5.864256,,2013
5.855254,,2013
5.840836,,2013
5.848586,,2013
5.845894,,2013
5.846522,,2013
5.845873,,2013
5.838658,,2013
5.827648,,2013
5.827348,,2013
5.775465,,2013
5.788056,,2013
5.791252,,2013
5.80175,,2013
5.884411,,2013
5.947474,,2013
6.027792,,2013
5.86565,,2013
5.835182,,2013
5.830459,,2013
5.877497,,2013
5.856046,,2013
5.850099,,2013
5.891312,,2013
5.83579,,2013
5.8473,,2013
5.849823,,2013
5.853935,,2013
5.84844,,2013
5.848057,,2013
5.854555,,2013
5.825264,,2013
5.833322,,2013
5.753326,,2013
5.7814,,2013
5.796669,,2013
5.792851,,2013
5.809987,,2013
5.827775,,2013
5.853196,,2013
5.891009,,2013
5.848981,,2013
5.83529,,2013
5.835634,,2013
5.881484,,2013
5.860425,,2013
5.850643,,2013
5.84121,,2013
5.835339,,2013
5.856151,,2013
5.868429,,2013
5.87869,,2013
5.906003,,2013
5.883866,,2013
5.873218,,2013
5.843478,,2013
5.839349,,2013
5.835556,,2013
5.836237,,2013
5.833761,,2013
5.748007,,2013
5.77244,,2013
5.815435,,2013
5.800074,,2013
5.793168,,2013
5.815049,,2013
5.839423,,2013
5.870167,,2013
5.89545,,2013
5.866288,,2013
5.861623,,2013
5.853144,,2013
5.907053,,2013
5.89812,,2013
5.857925,,2013
5.842352,,2013
5.835948,,2013
5.849645,,2013
5.865169,,2013
5.999799,,2013
6.147478,,2013
5.907499,,2013
5.863359,,2013
5.840456,,2013
5.838242,,2013
5.841424,,2013
5.881825,,2013
5.883672,,2013
5.850812,,2013
5.836804,,2013
5.827384,,2013
5.833717,,2013
5.828614,,2013
5.749908,,2013
5.755087,,2013
6.005773,,2013
5.807229,,2013
5.78969,,2013
5.80559,,2013
5.853045,,2013
5.831962,,2013
5.826528,,2013
5.824236,,2013
5.830548,,2013
5.890943,,2013
6.224493,,2013
5.935202,,2013
5.865305,,2013
5.846067,,2013
5.841266,,2013
5.856403,,2013
5.871988,,2013
5.901001,,2013
5.969457,,2013
5.874848,,2013
5.858058,,2013
5.846725,,2013
5.842548,,2013
5.846225,,2013
5.863832,,2013
5.925678,,2013
5.904885,,2013
5.887755,,2013
5.848686,,2013
5.83418,,2013
5.757506,,2013
5.833739,,2013
5.804171,,2013
5.797248,,2013
5.817714,,2013
5.800825,,2013
5.816083,,2013
5.816033,,2013
5.81632,,2013
5.826983,,2013
5.879944,,2013
6.175312,,2013
5.944806,,2013
5.865312,,2013
5.849148,,2013
5.868927,,2013
5.869808,,2013
5.906235,,2013
5.902267,,2013
5.875193,,2013
5.849434,,2013
5.849581,,2013
5.842597,,2013
5.841714,,2013
5.852052,,2013
5.913464,,2013
5.882705,,2013
5.86378,,2013
5.85554,,2013
5.835628,,2013
5.624433,,2013
5.648315,,2013
5.761108,,2013
5.779671,,2013
5.782859,,2013
5.797888,,2013
5.82359,,2013
5.81622,,2013
5.82063,,2013
5.827086,,2013
5.85336,,2013
5.934679,,2013
5.918664,,2013
5.859502,,2013
5.844179,,2013
5.842196,,2013
5.854604,,2013
5.852963,,2013
5.850481,,2013
5.84368,,2013
5.838937,,2013
5.864431,,2013
5.957452,,2013
5.888404,,2013
5.884432,,2013
5.844223,,2013
5.831926,,2013
5.622492,,2013
5.626481,,2013
5.659401,,2013
5.665431,,2013
5.69494,,2013
5.66743,,2013
5.765174,,2013
5.763575,,2013
5.791856,,2013
5.795187,,2013
5.816641,,2013
5.846645,,2013
5.831324,,2013
5.821923,,2013
5.829723,,2013
5.860724,,2013
5.897579,,2013
5.855227,,2013
5.841326,,2013
5.835512,,2013
5.848791,,2013
5.844933,,2013
5.858706,,2013
5.936944,,2013
5.871521,,2013
5.852008,,2013
5.622616,,2013
5.624589,,2013
5.652181,,2013
5.728253,,2013
5.733974,,2013
5.679103,,2013
5.761607,,2013
5.77727,,2013
5.765383,,2013
5.786307,,2013
5.785815,,2013
5.790657,,2013
5.796335,,2013
5.799169,,2013
5.817004,,2013
5.819849,,2013
5.817731,,2013
5.818077,,2013
5.820817,,2013
5.850667,,2013
5.923989,,2013
5.85412,,2013
5.840787,,2013
5.835947,,2013
5.850847,,2013
5.845595,,2013
5.847423,,2013
5.842108,,2013
5.867065,,2013
5.844733,,2013
5.851118,,2013
5.85303,,2013
5.674094,,2013
5.696632,,2013
5.692898,,2013
5.67792,,2013
5.745381,,2013
5.787828,,2013
5.774557,,2013
5.761588,,2013
5.785651,,2013
5.78396,,2013
5.790311,,2013
5.796216,,2013
5.796354,,2013
5.812815,,2013
5.813785,,2013
5.810575,,2013
5.808472,,2013
5.810641,,2013
5.841041,,2013
5.882769,,2013
5.841965,,2013
5.83531,,2013
5.831466,,2013
5.844765,,2013
5.846505,,2013
5.864416,,2013
5.83861,,2013
5.831892,,2013
5.84035,,2013
5.659448,,2013
5.670298,,2013
5.688118,,2013
5.724031,,2013
5.723355,,2013
5.748705,,2013
5.776527,,2013
5.97012,,2013
5.77643,,2013
5.804332,,2013
5.795956,,2013
5.798854,,2013
5.810202,,2013
5.815412,,2013
5.808125,,2013
5.836734,,2013
5.837765,,2013
5.81724,,2013
5.810546,,2013
5.809344,,2013
5.840465,,2013
5.869504,,2013
5.856248,,2013
5.841252,,2013
5.836191,,2013
5.846192,,2013
5.844428,,2013
5.843477,,2013
5.838705,,2013
5.841833,,2013
5.846328,,2013
5.691561,,2013
5.745864,,2013
5.888266,,2013
5.813255,,2013
5.758236,,2013
5.746437,,2013
5.730174,,2013
5.738476,,2013
5.764537,,2013
5.862595,,2013
5.933721,,2013
