PM25 level,Happiness,Year
5.961652,7,2012
5.952081,7.23,2012
5.964056,7.38,2012
5.964459,7.61,2012
5.965055,7.12,2012
5.965657,7.1,2012
5.954046,7.1,2012
5.966656,7.48,2012
5.9679,7.25,2012
5.969533,7.07,2012
5.970654,7.41,2012
5.971588,6.72,2012
5.97681,7.09,2012
5.976967,7.48,2012
5.957553,7.25,2012
5.971122,7.36,2012
5.972443,6.55,2012
5.977694,7.78,2012
5.977826,7.05,2012
5.980243,7.37,2012
5.991381,7.71,2012
5.984563,7.46,2012
5.955067,7.73,2012
5.957333,7.34,2012
5.960193,7.71,2012
5.973873,7.77,2012
5.979753,7.53,2012
5.981405,7.27,2012
5.986667,7.07,2012
5.995219,7.43,2012
6.006074,7.32,2012
5.991748,7.33,2012
5.980395,7.31,2012
5.970305,7.47,2012
5.972704,7.42,2012
5.976637,7.54,2012
5.995961,7.31,2012
6.008475,7.54,2012
6.012534,7.54,2012
6.017032,7.32,2012
6.064407,7.6,2012
6.039062,7.29,2012
6.009119,7.29,2012
5.971917,7.37,2012
5.974356,7.56,2012
5.980542,7.54,2012
6.005475,7.39,2012
6.072431,7.3,2012
6.027445,7.23,2012
6.043316,7.31,2012
6.320915,7.54,2012
6.054376,7.24,2012
6.018018,7.2,2012
5.971499,7.46,2012
5.974523,7.39,2012
5.977422,7.79,2012
5.992873,7.19,2012
6.007633,7.23,2012
6.013994,7.58,2012
6.027435,7.12,2012
6.089704,7.23,2012
6.100639,7.63,2012
6.075878,7.14,2012
6.017692,7.45,2012
5.974161,7.29,2012
5.985982,7.3,2012
5.996279,7.54,2012
6.040681,7.33,2012
6.009135,7.11,2012
6.01864,7.18,2012
6.147399,7.41,2012
6.161705,7.36,2012
6.059012,7.3,2012
6.005876,7.3,2012
5.97463,7.39,2012
6.002133,7.04,2012
5.996748,7.3,2012
6.018222,7.45,2012
6.026381,7.37,2012
6.040091,7.36,2012
6.146915,7.28,2012
6.136628,7.48,2012
5.989126,7.27,2012
5.996081,7.13,2012
6.016356,7.4,2012
6.066534,7.27,2012
6.088922,7.15,2012
6.192182,7.18,2012
6.15679,7.46,2012
6.373707,7.48,2012
6.021687,7.14,2012
5.990488,7.51,2012
6.001,7.36,2012
6.017722,7.3,2012
6.082453,7.52,2012
6.091908,7.44,2012
6.140778,7.34,2012
6.056666,8.02,2012
6.034773,7.44,2012
6.01721,7.58,2012
6.003773,7.4,2012
5.990889,7.56,2012
5.99583,7.67,2012
6.026375,7.42,2012
6.011497,7.32,2012
6.034465,7.19,2012
6.034533,7.14,2012
6.037524,7.72,2012
6.054464,7.08,2012
6.056368,7.28,2012
6.032672,7.38,2012
5.999959,7.38,2012
5.974187,7.46,2012
5.976604,7.49,2012
5.990434,7.35,2012
5.995365,7.32,2012
6.008452,7.15,2012
6.156159,7.11,2012
6.015448,7.24,2012
6.034135,7.43,2012
6.029541,7.11,2012
6.018904,7.06,2012
6.080853,7.5,2012
6.005085,7.11,2012
5.999651,7.09,2012
5.97524,7.38,2012
5.979583,7.16,2012
5.985118,7.22,2012
5.991955,7.43,2012
6.00092,7.63,2012
6.015669,7.48,2012
6.011461,7.15,2012
5.998971,7.34,2012
6.055094,7.55,2012
5.999017,7.16,2012
6.096923,7.57,2012
6.052749,7.41,2012
6.032391,7.22,2012
