PM25 level,Happiness,Year
7.131059,7.16,2011
7.119065,7.31,2011
7.133146,7.4,2011
7.133374,7.37,2011
7.133624,6.88,2011
7.133519,7.3,2011
7.120478,7.48,2011
7.135237,7.41,2011
7.136117,7.47,2011
7.137301,7.09,2011
7.137641,7.6,2011
7.137431,7.3,2011
7.140102,7.46,2011
7.140005,7.4,2011
7.123023,7.43,2011
7.13847,7.58,2011
7.139286,7.53,2011
7.141556,7.92,2011
7.144029,7.87,2011
7.143994,7.52,2011
7.150263,7.32,2011
7.146386,7.43,2011
7.120056,7.26,2011
7.122174,7.34,2011
7.124755,7.4,2011
7.140131,7.48,2011
7.144203,7.66,2011
7.146895,7.74,2011
7.152273,7.6,2011
7.154409,7.22,2011
7.160275,7.07,2011
7.153186,7.31,2011
7.146034,7.19,2011
7.141684,7.26,2011
7.14396,7.27,2011
7.146579,7.1,2011
7.165642,6.97,2011
7.17505,7.28,2011
7.178878,7.68,2011
7.184517,7.23,2011
7.207649,7.29,2011
7.194498,7.21,2011
7.176929,7.32,2011
7.143266,7.51,2011
7.14566,7.73,2011
7.149519,7.35,2011
7.171111,7.41,2011
7.212416,7.55,2011
7.189299,7.54,2011
7.206339,7.1,2011
7.337649,7.5,2011
7.210735,7.32,2011
7.189445,7.14,2011
7.141956,7.6,2011
7.145121,7.48,2011
7.147644,7.56,2011
7.157218,7.3,2011
7.172862,7.21,2011
7.17863,7.53,2011
7.190495,7.96,2011
7.235787,7.46,2011
7.250386,7.32,2011
7.262774,7.5,2011
7.191657,7.51,2011
7.144157,7.32,2011
7.151927,7.47,2011
7.160448,7.24,2011
7.187247,7.36,2011
7.175535,7.07,2011
7.183906,7.27,2011
7.250462,7.56,2011
7.393055,7.42,2011
7.227159,7.29,2011
7.179263,7.36,2011
7.144655,7.29,2011
7.157828,7.59,2011
7.161234,7.33,2011
7.181383,7.27,2011
7.187078,7.21,2011
7.19577,7.33,2011
7.24756,7.15,2011
7.240711,7.54,2011
7.166533,7.36,2011
7.170973,7.14,2011
7.18421,7.43,2011
7.224822,7.32,2011
7.236856,6.94,2011
7.292895,7.35,2011
7.272543,7.43,2011
7.3432,7.57,2011
7.195291,7.35,2011
7.168276,7.4,2011
7.174019,7.43,2011
7.184237,7.14,2011
7.232929,7.28,2011
7.240063,7.41,2011
7.265093,6.9,2011
7.213245,7.17,2011
7.198679,7.34,2011
7.189481,7.65,2011
7.182266,7.44,2011
7.168854,7.63,2011
7.172565,7.69,2011
7.185376,7.45,2011
7.180822,7.39,2011
7.203213,7.52,2011
7.200366,7.22,2011
7.198164,7.47,2011
