PM25 level,Happiness,Year
3.323215,7.69,2017
3.319262,7.35,2017
3.324881,7.28,2017
3.325534,7.54,2017
3.326576,6.7,2017
3.326988,7.43,2017
3.3199,7.63,2017
3.32633,7.44,2017
3.327098,7.55,2017
3.328269,7.45,2017
3.329243,7.57,2017
3.330511,7.5,2017
3.334688,7.78,2017
3.335353,7.33,2017
3.320893,7.42,2017
3.327233,7.75,2017
3.328482,7.6,2017
3.331204,7.67,2017
3.332603,8.04,2017
3.335008,7.4,2017
3.342872,7.62,2017
3.339518,7.73,2017
3.320202,7.42,2017
3.320805,7.85,2017
3.321707,7.52,2017
3.327986,7.83,2017
3.331347,7.7,2017
3.332453,7.98,2017
3.335563,7.87,2017
3.343086,7.9,2017
3.352278,8.02,2017
3.343733,7.34,2017
3.336747,7.57,2017
3.321235,7.55,2017
3.322009,7.6,2017
3.323074,7.66,2017
3.330671,7.22,2017
3.337071,7.79,2017
3.337766,7.8,2017
3.341712,7.21,2017
3.373462,7.52,2017
3.36724,7.48,2017
3.347019,7.54,2017
3.322165,7.67,2017
3.323237,7.79,2017
3.325217,7.43,2017
3.333706,7.66,2017
3.341558,7.71,2017
3.342149,7.72,2017
3.353249,7.53,2017
3.46364,7.45,2017
3.367034,7.59,2017
3.348611,7.28,2017
3.322871,7.71,2017
3.324143,7.63,2017
3.325317,7.75,2017
3.331556,7.65,2017
3.337816,7.75,2017
3.338887,7.73,2017
3.344889,7.75,2017
3.369918,7.51,2017
3.386749,7.56,2017
3.372823,7.18,2017
3.347668,7.55,2017
3.323939,7.43,2017
3.328803,7.41,2017
3.332612,7.81,2017
3.354897,7.54,2017
3.339391,7.22,2017
3.343677,7.25,2017
3.411245,7.49,2017
3.404649,7.43,2017
3.36718,7.56,2017
3.342414,7.66,2017
3.324625,7.42,2017
3.33754,7.85,2017
3.33342,7.4,2017
3.342173,7.97,2017
3.3455,7.54,2017
3.354177,7.58,2017
3.401673,7.46,2017
3.403944,7.54,2017
3.32595,7.54,2017
3.32826,7.28,2017
3.3352,7.7,2017
3.35103,7.55,2017
3.363828,7.55,2017
3.3947,7.47,2017
3.380666,7.2,2017
3.512023,7.64,2017
3.341057,7.76,2017
3.327505,7.69,2017
3.331896,8.04,2017
3.338293,7.56,2017
3.354146,7.75,2017
3.370763,7.92,2017
3.37308,7.37,2017
3.356304,7.34,2017
3.346428,7.48,2017
3.339656,7.51,2017
