PM25 level,Happiness,Year
2.354811,7.36,2020
2.351429,7.46,2020
2.355783,7.94,2020
2.356113,7.69,2020
2.35701,7.14,2020
2.357412,7.1,2020
2.352005,7.56,2020
2.356538,7.55,2020
2.356991,7.3,2020
2.357999,7.19,2020
2.358767,7.51,2020
2.3597,7.07,2020
2.363395,7.36,2020
2.363498,7.4,2020
2.352833,7.41,2020
2.357612,7.17,2020
2.35828,7.07,2020
2.359792,6.75,2020
2.360606,7.26,2020
2.362705,7.27,2020
2.3687,7.79,2020
2.366094,7.29,2020
2.352149,7.51,2020
2.35267,7.4,2020
2.353344,7.57,2020
2.358311,7.06,2020
2.360487,7.35,2020
2.360714,7.37,2020
2.362611,6.58,2020
2.368533,7.48,2020
2.375327,6.85,2020
2.368453,7.34,2020
2.363618,7.46,2020
2.352375,7.45,2020
2.352937,7.73,2020
2.353733,7.39,2020
2.359493,7.42,2020
2.363466,7.63,2020
2.364031,7.65,2020
2.367162,7.09,2020
2.390156,7.27,2020
2.386816,7.29,2020
2.370199,7.32,2020
2.35294,7.38,2020
2.353575,7.79,2020
2.354869,6.8,2020
2.361396,7.54,2020
2.366748,7.5,2020
2.367258,7.37,2020
2.376774,7.6,2020
2.425572,7.28,2020
2.385162,7.33,2020
2.369745,6.99,2020
2.352713,7.52,2020
2.353445,7.64,2020
2.354119,7.54,2020
2.357158,7.25,2020
2.362121,7.83,2020
2.363588,7.6,2020
2.368011,7.56,2020
2.38457,7.74,2020
2.393584,8.04,2020
2.382534,8.01,2020
2.366703,7.66,2020
2.353319,7.38,2020
2.355833,7.32,2020
2.357745,7.72,2020
2.368847,7.03,2020
2.363415,7.11,2020
2.366791,7.72,2020
2.399523,7.42,2020
2.4052,7.24,2020
2.376472,7.44,2020
2.364817,7.5,2020
2.353507,7.42,2020
2.359122,7.39,2020
2.358676,7.64,2020
2.365002,7.49,2020
2.366964,7.3,2020
2.371768,7.21,2020
2.38765,7.41,2020
2.392691,7.34,2020
2.353605,7.41,2020
2.355004,7.14,2020
2.359081,7.33,2020
2.370708,7.4,2020
2.37863,7.06,2020
2.392857,7.4,2020
2.382177,7.67,2020
2.431708,7.39,2020
2.363123,7.44,2020
2.354061,7.4,2020
2.356028,7.75,2020
2.359601,7.52,2020
2.371115,7.56,2020
2.378279,7.32,2020
2.384859,7.58,2020
2.371274,7.78,2020
2.363969,7.06,2020
2.362328,7.24,2020
2.359068,7.48,2020
2.354575,6.86,2020
2.355489,7.33,2020
2.361223,7.5,2020
2.35805,7.42,2020
2.364509,7.77,2020
2.36464,7.2,2020
2.365603,7.51,2020
2.369271,7.03,2020
2.368076,7.72,2020
2.365059,7.5,2020
2.358371,7.65,2020
2.346886,7.35,2020
2.34763,7.19,2020
2.352185,7.55,2020
2.356456,7.41,2020
2.360385,7.31,2020
2.38763,7.22,2020
2.359048,7.34,2020
2.364686,7.41,2020
2.363418,7.2,2020
2.361383,7.52,2020
2.373391,7.3,2020
2.357712,7.23,2020
2.358324,7.51,2020
2.347022,7.16,2020
2.348256,7.19,2020
2.350056,7.15,2020
2.353012,7.42,2020
2.354907,7.44,2020
2.358736,7.14,2020
2.360273,7.05,2020
2.357554,7.39,2020
2.370559,7.23,2020
2.356251,7.75,2020
2.375183,7.53,2020
2.368153,7.19,2020
2.363765,7.71,2020
2.358945,7.14,2020
2.357273,8.31,2020
2.346886,7.23,2020
2.349776,7.28,2020
2.350473,7.58,2020
2.35755,6.94,2020
2.359078,7.49,2020
2.367996,7.42,2020
2.379314,7.4,2020
2.364255,6.81,2020
2.359989,7.39,2020
2.358552,7.28,2020
2.359021,6.92,2020
2.357181,6.97,2020
2.367652,7.57,2020
2.394264,7.08,2020
2.370719,6.85,2020
2.358053,7.25,2020
2.356583,7.21,2020
2.347033,7.14,2020
2.358243,7.5,2020
2.349417,7,2020
2.355534,7.14,2020
2.365106,6.97,2020
2.365569,7.27,2020
2.375985,7.87,2020
2.376555,7.23,2020
2.365369,7.42,2020
2.360371,7.28,2020
2.358821,7.54,2020
2.361145,7.38,2020
2.366355,7.32,2020
2.365225,6.96,2020
2.359699,7.42,2020
2.357276,7.38,2020
2.355714,7.48,2020
2.347273,7.2,2020
2.348661,7.34,2020
2.349339,7.25,2020
2.355706,7.22,2020
2.407473,7.21,2020
2.361701,7.17,2020
2.366564,7.32,2020
2.429612,7.31,2020
2.367987,7.4,2020
2.362766,7.12,2020
2.357876,7.21,2020
2.370855,7.26,2020
2.388904,7.28,2020
2.388096,7.49,2020
2.35964,7.25,2020
2.358586,7.11,2020
2.35661,7.3,2020
2.347747,7.25,2020
2.3495,7.29,2020
2.34955,7.1,2020
2.37427,7.49,2020
2.366,7.16,2020
2.361276,7.43,2020
2.357715,7.39,2020
2.362758,7.37,2020
2.362429,7.45,2020
2.362915,6.86,2020
2.35777,7.2,2020
2.36536,7.43,2020
2.369763,7.45,2020
2.365518,7.72,2020
2.363302,7.31,2020
2.361101,7.26,2020
2.357512,7.31,2020
2.350651,7.12,2020
2.350051,7.33,2020
2.35038,7.03,2020
2.352416,7.3,2020
2.406622,7.33,2020
2.362212,7.13,2020
2.357308,7.06,2020
2.36336,7.23,2020
2.363355,7.51,2020
2.361082,7.37,2020
2.356611,7.97,2020
2.358862,7.23,2020
2.3738,7.19,2020
2.369648,7.22,2020
2.359687,7.09,2020
2.35994,7.71,2020
2.356638,7.58,2020
2.380846,7.34,2020
2.364113,7.76,2020
2.363969,7.51,2020
2.36463,7.84,2020
2.422457,7.19,2020
2.375131,7.14,2020
2.372323,7.23,2020
2.403202,7.05,2020
2.375839,6.97,2020
2.368904,7.14,2020
2.367133,7.56,2020
2.366927,7.28,2020
2.367328,7.4,2020
2.365942,7.45,2020
2.364381,7.42,2020
2.363605,7.35,2020
2.35878,7.64,2020
2.370053,7.6,2020
2.380389,7.72,2020
2.370678,7.16,2020
2.364822,7.11,2020
2.373644,7.36,2020
2.3725,7.23,2020
2.385938,7.26,2020
2.385797,6.89,2020
2.370811,7.05,2020
2.366808,7.33,2020
2.36533,7.11,2020
2.365115,7.2,2020
2.363485,7.21,2020
2.362965,7.39,2020
2.358574,7.16,2020
2.358823,7.37,2020
2.359168,7.13,2020
2.363993,7.51,2020
2.361507,7.07,2020
2.363745,7.48,2020
2.36983,7.36,2020
2.400036,7.24,2020
2.380061,6.66,2020
2.38984,6.74,2020
2.366228,7,2020
2.365011,7.91,2020
2.362917,7.3,2020
2.362619,7.44,2020
2.342893,7.3,2020
2.342927,7.36,2020
2.358866,7.32,2020
2.359105,7.37,2020
2.359353,7.3,2020
2.35993,7.41,2020
2.36223,7.43,2020
2.363354,7.61,2020
2.365234,7.31,2020
2.369819,7.33,2020
2.36558,7.37,2020
2.364063,7.29,2020
2.365565,7.34,2020
2.363972,7.01,2020
2.363632,7.67,2020
2.343012,7.31,2020
2.357028,7.51,2020
2.359279,7.49,2020
2.359879,7.07,2020
2.359682,7.29,2020
2.360069,7.37,2020
2.360465,7.51,2020
2.363369,7.17,2020
2.364484,7.5,2020
2.364592,7.39,2020
2.364676,7.38,2020
2.363667,7.37,2020
2.364675,7.18,2020
2.363816,7.39,2020
2.363601,7.35,2020
2.363542,7.38,2020
2.363091,7.4,2020
2.343034,7.41,2020
2.343278,7.06,2020
2.357322,7.32,2020
2.359881,7.74,2020
2.3607,7.66,2020
2.36025,7.59,2020
2.360239,7.69,2020
2.360692,7.47,2020
2.363642,7.57,2020
2.364912,7.46,2020
2.367277,7.75,2020
2.364797,7.36,2020
2.362972,7.13,2020
2.364368,7.23,2020
2.364214,7.37,2020
2.363863,7.28,2020
2.364202,7.3,2020
2.364106,6.52,2020
2.375687,7.71,2020
2.362533,7.32,2020
2.362482,7.17,2020
2.34343,7.68,2020
2.343525,,2020
2.344212,,2020
2.357346,,2020
2.35756,,2020
2.359988,,2020
2.364189,,2020
2.361187,,2020
2.360875,,2020
2.361555,,2020
2.366393,,2020
2.366777,,2020
2.366442,,2020
2.363526,,2020
2.362734,,2020
2.3655,,2020
2.364727,,2020
2.366062,,2020
2.365099,,2020
2.363614,,2020
2.363394,,2020
2.362875,,2020
2.363561,,2020
2.363719,,2020
2.364839,,2020
2.36337,,2020
2.341143,,2020
2.341957,,2020
2.342874,,2020
2.342277,,2020
2.34392,,2020
2.34447,,2020
2.344887,,2020
2.357747,,2020
2.357857,,2020
2.359918,,2020
2.361773,,2020
2.362717,,2020
2.361678,,2020
2.362754,,2020
2.371351,,2020
2.386338,,2020
2.369054,,2020
2.363588,,2020
2.363277,,2020
2.363883,,2020
2.363677,,2020
2.364252,,2020
2.364918,,2020
2.364515,,2020
2.364473,,2020
2.364193,,2020
2.363298,,2020
2.363014,,2020
2.366385,,2020
2.365042,,2020
2.363539,,2020
2.342806,,2020
2.344238,,2020
2.345525,,2020
2.344146,,2020
2.3436,,2020
2.345985,,2020
2.347268,,2020
2.347386,,2020
2.359105,,2020
2.359051,,2020
2.361024,,2020
2.361535,,2020
2.362374,,2020
2.364279,,2020
2.366712,,2020
2.373738,,2020
2.381199,,2020
2.369515,,2020
2.364342,,2020
2.363377,,2020
2.364645,,2020
2.364824,,2020
2.364639,,2020
2.365236,,2020
2.368963,,2020
2.367488,,2020
2.366522,,2020
2.364986,,2020
2.365447,,2020
2.366323,,2020
2.366947,,2020
2.364537,,2020
2.345122,,2020
2.346533,,2020
2.346417,,2020
2.345698,,2020
2.345839,,2020
2.349524,,2020
2.354687,,2020
2.354757,,2020
2.363152,,2020
2.363884,,2020
2.366411,,2020
2.367298,,2020
2.366296,,2020
2.365768,,2020
2.36689,,2020
2.378788,,2020
2.391133,,2020
2.371031,,2020
2.367666,,2020
2.366225,,2020
2.364319,,2020
2.364624,,2020
2.365886,,2020
2.36762,,2020
2.377251,,2020
2.367584,,2020
2.365083,,2020
2.366394,,2020
2.367063,,2020
2.36428,,2020
2.348119,,2020
2.347704,,2020
2.346099,,2020
2.345526,,2020
2.346103,,2020
2.349773,,2020
2.364733,,2020
2.353343,,2020
2.363813,,2020
2.366961,,2020
2.370786,,2020
2.366807,,2020
2.365808,,2020
2.365532,,2020
2.365725,,2020
2.368686,,2020
2.369883,,2020
2.368834,,2020
2.369021,,2020
2.366277,,2020
2.364198,,2020
2.363208,,2020
2.363528,,2020
2.365118,,2020
2.364818,,2020
2.363068,,2020
2.365545,,2020
2.364936,,2020
2.347608,,2020
2.350228,,2020
2.347311,,2020
2.346693,,2020
2.347882,,2020
2.350948,,2020
2.357839,,2020
2.353167,,2020
2.366182,,2020
2.36768,,2020
2.371731,,2020
2.379491,,2020
2.371321,,2020
2.369836,,2020
2.369485,,2020
2.369334,,2020
2.371234,,2020
2.371292,,2020
2.371757,,2020
2.370614,,2020
2.369309,,2020
2.363373,,2020
2.362672,,2020
2.363682,,2020
2.366315,,2020
2.362057,,2020
2.364151,,2020
2.363606,,2020
2.346069,,2020
2.349345,,2020
2.349394,,2020
2.347486,,2020
2.34692,,2020
2.347683,,2020
2.35103,,2020
2.35401,,2020
2.353714,,2020
2.368909,,2020
2.373575,,2020
2.377883,,2020
2.372251,,2020
2.371028,,2020
2.370535,,2020
2.370223,,2020
2.371822,,2020
2.371815,,2020
2.371913,,2020
2.376429,,2020
2.370779,,2020
2.362326,,2020
2.362141,,2020
2.362066,,2020
2.363374,,2020
2.343868,,2020
2.357691,,2020
2.350851,,2020
2.3514,,2020
2.347235,,2020
2.347321,,2020
2.348161,,2020
2.351522,,2020
2.355038,,2020
2.354908,,2020
2.369898,,2020
2.370976,,2020
2.374681,,2020
2.372786,,2020
2.37186,,2020
2.371192,,2020
2.370649,,2020
2.372287,,2020
2.372772,,2020
2.372608,,2020
2.381046,,2020
2.338418,,2020
2.342265,,2020
2.344753,,2020
2.370878,,2020
2.359485,,2020
2.351011,,2020
2.34751,,2020
2.348067,,2020
2.349033,,2020
2.352752,,2020
2.356263,,2020
2.357621,,2020
2.372295,,2020
2.375915,,2020
2.37406,,2020
2.37291,,2020
2.371959,,2020
2.371201,,2020
2.372752,,2020
2.373287,,2020
2.375107,,2020
2.371707,,2020
2.370112,,2020
2.336787,,2020
2.337929,,2020
2.33864,,2020
2.342588,,2020
2.345488,,2020
2.345419,,2020
2.356511,,2020
2.414424,,2020
2.348146,,2020
2.348437,,2020
2.349073,,2020
2.350233,,2020
2.356114,,2020
2.361001,,2020
2.356583,,2020
2.374733,,2020
2.379706,,2020
2.376075,,2020
2.374351,,2020
2.373122,,2020
2.372035,,2020
2.373359,,2020
2.372536,,2020
2.372713,,2020
2.338217,,2020
2.339722,,2020
2.343526,,2020
2.345635,,2020
2.345756,,2020
2.346012,,2020
2.346996,,2020
2.349002,,2020
2.349149,,2020
2.349622,,2020
2.351109,,2020
2.352841,,2020
2.35733,,2020
2.355945,,2020
2.356423,,2020
2.3774,,2020
2.385396,,2020
2.378436,,2020
2.376029,,2020
2.374548,,2020
2.374126,,2020
2.374134,,2020
2.373301,,2020
2.375273,,2020
2.372654,,2020
2.338804,,2020
2.340573,,2020
2.345994,,2020
2.346651,,2020
2.348444,,2020
2.347144,,2020
2.351787,,2020
2.35019,,2020
2.350664,,2020
2.351347,,2020
2.353148,,2020
2.362626,,2020
2.35871,,2020
2.357545,,2020
2.381535,,2020
2.388005,,2020
2.382505,,2020
2.378936,,2020
2.377209,,2020
2.381011,,2020
2.375618,,2020
2.374717,,2020
2.373578,,2020
2.372407,,2020
2.339829,,2020
2.341285,,2020
2.356018,,2020
2.346592,,2020
2.347874,,2020
2.350574,,2020
2.349168,,2020
2.351861,,2020
2.352218,,2020
2.352751,,2020
2.355403,,2020
2.356308,,2020
2.359985,,2020
2.362,,2020
2.362322,,2020
2.363857,,2020
2.381152,,2020
2.383866,,2020
2.384937,,2020
2.385376,,2020
2.390533,,2020
2.386607,,2020
2.382051,,2020
2.37968,,2020
2.377501,,2020
2.377618,,2020
2.377113,,2020
2.375576,,2020
2.37451,,2020
2.338438,,2020
2.34025,,2020
2.343892,,2020
2.347059,,2020
2.359714,,2020
2.348651,,2020
2.350505,,2020
2.348068,,2020
2.352454,,2020
2.355839,,2020
2.353637,,2020
2.354401,,2020
2.356649,,2020
2.35671,,2020
2.364792,,2020
2.381415,,2020
2.36343,,2020
2.364319,,2020
2.389841,,2020
2.390521,,2020
2.389676,,2020
2.393641,,2020
2.403505,,2020
2.387427,,2020
2.382588,,2020
2.38471,,2020
2.381949,,2020
2.387674,,2020
2.38498,,2020
2.378033,,2020
2.350961,,2020
2.352465,,2020
2.356007,,2020
2.357676,,2020
2.358067,,2020
2.358579,,2020
2.37691,,2020
2.360648,,2020
2.362426,,2020
2.368304,,2020
2.370555,,2020
2.368668,,2020
2.369251,,2020
2.371261,,2020
2.372318,,2020
2.379005,,2020
2.380406,,2020
2.377066,,2020
2.383907,,2020
2.39613,,2020
2.401856,,2020
2.405339,,2020
2.403728,,2020
2.401743,,2020
2.406598,,2020
2.434621,,2020
2.398539,,2020
2.390522,,2020
2.386625,,2020
2.390506,,2020
2.396591,,2020
2.393824,,2020
2.385301,,2020
2.351495,,2020
2.352626,,2020
2.354643,,2020
2.354483,,2020
2.356631,,2020
2.358308,,2020
2.360029,,2020
2.362777,,2020
2.365215,,2020
2.370442,,2020
2.385131,,2020
2.370808,,2020
2.371096,,2020
2.372877,,2020
2.375501,,2020
2.380239,,2020
2.378835,,2020
2.379161,,2020
2.38789,,2020
2.415721,,2020
2.416423,,2020
2.411135,,2020
2.408184,,2020
2.429505,,2020
2.399097,,2020
2.391583,,2020
2.386221,,2020
2.386814,,2020
2.386624,,2020
2.385232,,2020
2.350861,,2020
2.35397,,2020
2.353081,,2020
2.353626,,2020
2.353702,,2020
2.357315,,2020
2.359528,,2020
2.361575,,2020
2.378397,,2020
2.365978,,2020
2.369691,,2020
2.374179,,2020
2.37424,,2020
2.373535,,2020
2.382853,,2020
2.38504,,2020
2.382492,,2020
2.384093,,2020
2.392652,,2020
2.422036,,2020
2.44095,,2020
2.428716,,2020
2.423184,,2020
2.417318,,2020
2.389459,,2020
2.386067,,2020
2.350558,,2020
2.351311,,2020
2.351661,,2020
2.352254,,2020
2.358724,,2020
2.361117,,2020
2.363982,,2020
2.363342,,2020
2.369922,,2020
2.369772,,2020
2.374802,,2020
2.372672,,2020
2.37592,,2020
2.380229,,2020
2.383229,,2020
2.401029,,2020
2.407619,,2020
2.473589,,2020
2.477324,,2020
2.444298,,2020
2.443223,,2020
2.433036,,2020
2.401526,,2020
2.358541,,2020
2.359786,,2020
2.360845,,2020
2.362136,,2020
2.366514,,2020
2.369478,,2020
2.372685,,2020
2.373409,,2020
2.375234,,2020
2.379752,,2020
2.385021,,2020
2.403491,,2020
2.427447,,2020
2.451086,,2020
2.420728,,2020
2.485084,,2020
2.454346,,2020
2.431862,,2020
2.422487,,2020
2.430022,,2020
2.401002,,2020
2.392753,,2020
2.381739,,2020
2.380395,,2020
