PM25 level,Happiness,Year
4.758008,7.37,2015
4.743575,7.44,2015
4.759852,7.12,2015
4.760779,7.62,2015
4.761932,7.06,2015
4.762993,7.54,2015
4.745178,7.73,2015
4.762401,7.51,2015
4.763781,7.54,2015
4.765625,7.61,2015
4.767406,7.84,2015
4.769368,7.41,2015
4.781179,7.96,2015
4.781416,7.67,2015
4.747814,7.36,2015
4.765648,7.44,2015
4.767704,7.39,2015
4.77228,7.52,2015
4.774286,7.49,2015
4.778103,7.15,2015
4.796678,7.59,2015
4.788738,7.66,2015
4.746039,7.66,2015
4.74762,7.54,2015
4.749921,7.54,2015
4.76834,7.79,2015
4.774383,7.61,2015
4.776989,7.82,2015
4.782151,7.55,2015
4.794469,7.68,2015
4.812555,7.89,2015
4.796359,7.56,2015
4.78359,7.49,2015
4.744028,7.49,2015
4.745904,7.83,2015
4.749113,7.49,2015
4.771172,7.42,2015
4.790721,7.73,2015
4.787756,7.42,2015
4.792009,7.26,2015
4.854877,7.24,2015
4.842876,7.47,2015
4.79817,7.56,2015
4.746148,7.55,2015
4.748465,7.37,2015
4.754045,7.25,2015
4.779802,7.86,2015
4.832543,7.71,2015
4.801223,7.48,2015
4.815946,7.4,2015
5.103158,7.57,2015
4.84038,7.39,2015
4.800702,7.17,2015
4.746297,7.61,2015
4.748594,7.72,2015
4.751666,7.84,2015
4.765671,7.58,2015
4.786505,7.8,2015
4.790605,7.81,2015
4.802794,7.83,2015
4.857835,7.68,2015
4.880758,7.66,2015
4.843515,7.47,2015
4.798536,7.64,2015
4.749109,7.38,2015
4.759198,7.48,2015
4.76922,7.31,2015
4.821312,7.53,2015
4.792255,7.38,2015
4.802708,7.34,2015
4.933366,7.26,2015
4.888245,7.54,2015
4.83512,7.5,2015
4.790565,7.65,2015
4.750821,7.38,2015
4.778129,7.84,2015
4.77619,7.73,2015
4.803477,7.61,2015
4.817653,7.6,2015
4.840879,7.45,2015
4.941021,7.54,2015
4.925622,7.61,2015
4.749127,7.47,2015
4.756459,7.29,2015
4.775843,7.66,2015
4.844265,7.48,2015
4.918323,7.45,2015
5.017588,7.43,2015
4.91512,7.35,2015
5.146538,7.67,2015
4.791378,7.49,2015
4.752519,7.57,2015
4.763901,7.57,2015
4.785255,7.55,2015
4.882573,7.4,2015
4.90097,7.63,2015
4.924625,7.9,2015
4.834105,7.39,2015
4.800179,7.72,2015
4.785579,7.46,2015
4.771997,7.23,2015
4.753714,7.42,2015
4.759235,8.04,2015
4.791262,7.58,2015
4.779307,7.5,2015
