Mean PM10 South,Mean Happiness South
15.04262682,7.671818182
12.270889,7.55
12.81096009,7.456363636
14.33889555,7.192727273
12.60840545,7.470909091
13.95301909,7.451818182
13.13511,7.432727273
11.91011645,7.416363636
14.69672191,7.411818182
15.98895727,7.398181818
16.30568873,7.472727273
14.93167009,7.450909091
16.580101,7.395454545
15.37601473,7.365454545
14.17120682,7.43
14.37352982,7.545454545
15.52061364,7.457272727
16.84799773,7.333636364
14.94791391,7.536363636
14.78586109,7.570909091
15.43248764,7.410909091
14.213529,7.262727273
15.49644082,7.474545455
15.37753627,7.362727273
12.62829809,7.546363636
12.00870155,7.548181818
13.37063336,7.539090909
15.50734764,7.456363636
15.72846855,7.566363636
13.08158364,7.434545455
12.75734673,7.622727273
14.550209,7.530909091
15.95286336,7.422727273
16.11706836,7.56
16.27706055,7.230909091
15.91671973,7.476363636
16.04169627,7.500909091
11.94879845,7.730909091
12.95090364,7.459090909
11.76238,7.556363636
10.90492745,7.688181818
11.31924964,7.665454545
11.40130445,7.611818182
11.19667391,7.57
10.71039791,7.602727273
13.08455436,7.331818182
14.05566209,7.427272727
13.72335173,7.511818182
13.51211173,7.615454545
13.22336527,7.504545455
15.99039609,7.412727273
16.17306527,7.576363636
16.66282227,7.324545455
14.94879818,7.48
16.35113191,7.584545455
15.75478327,7.371818182
16.642722,7.519090909
16.19561055,7.32
15.28840618,7.524545455
15.02549373,7.553636364
15.08600355,7.396363636
16.16573027,7.648181818
13.638534,7.38
13.56507255,7.642727273
12.68678609,7.382727273
14.39220273,7.321818182
13.12722464,7.452727273
13.63879455,7.519090909
14.24685955,7.582727273
13.86080327,7.485454545
14.70995745,7.48
14.60063955,7.597272727
13.90342264,7.413636364
13.91313182,7.65
14.143509,7.523636364
12.47331827,7.580909091
14.60011545,7.617272727
13.72064718,7.510909091
14.12987227,7.642727273
15.92148164,7.424545455
14.95331909,7.447272727
16.34643245,7.466363636
15.58527936,7.575454545
15.43625409,7.658181818
15.80141245,7.550909091
14.68177855,7.572727273
14.60354491,7.399090909
16.86614282,7.436363636
14.72027727,7.372727273
14.99816891,7.512727273
14.72994345,7.600909091
14.37702191,7.533636364
14.86258036,7.437272727
14.98843264,7.367272727
15.042572,7.550909091
13.71989482,7.42
16.28246409,7.280909091
16.074722,7.640909091
15.26419864,7.59
15.27699673,7.461818182
14.51882245,7.366363636
15.495952,7.571818182
15.02432136,7.568181818
15.35358464,7.301818182
15.49801691,7.503636364
14.82545436,7.542727273
15.66093291,7.418181818
14.31983545,7.564545455
14.61723909,7.433636364
14.32338582,7.481818182
12.64756091,7.465454545
12.27584573,7.586363636
13.042804,7.531818182
15.824463,7.746363636
16.16226473,7.296363636
16.20199555,7.641818182
15.36763855,7.605454545
15.25447136,7.498181818
14.00296573,7.36
14.13125064,7.637272727
14.964982,7.466363636
15.28340382,7.452727273
15.91759764,7.517272727
14.51730064,7.424545455
14.72102373,7.578181818
13.33589464,7.569090909
14.46471955,7.620909091
13.95755964,7.618181818
13.71843491,7.651818182
13.58053582,7.683636364
14.93038018,7.449090909
13.85413745,7.558181818
13.98288818,7.597272727
13.87756318,7.376363636
12.79208227,7.533636364
13.76543791,7.636363636
16.08942355,7.560909091
15.71751155,7.409090909
15.50238309,7.631818182
15.64254236,7.427272727
15.067526,7.637272727
15.71918609,7.576363636
11.36749809,7.578181818
18.09332118,7.412727273
17.10920827,7.422727273
16.64272055,7.372727273
18.20571,7.463636364
15.599809,7.441818182
19.32480318,7.172727273
15.88215727,7.375454545
18.11910127,7.423636364
17.25456555,7.332727273
17.74418191,7.239090909
19.80490164,7.139090909
19.29220055,7.315454545
18.36209727,7.224545455
16.19648218,7.499090909
16.88161255,7.37
16.49888,7.435454545
17.29173691,7.485454545
20.03440764,7.141818182
20.11902718,7.333636364
16.15225791,7.392727273
18.96436255,7.186363636
17.79949555,7.289090909
17.06017209,7.423636364
19.34542318,7.465454545
18.10984391,7.419090909
16.56146718,7.446363636
19.01820045,7.267272727
15.95166118,7.414545455
20.11956745,7.411818182
18.46817873,7.383636364
18.04732282,7.366363636
20.41808764,7.326363636
