Mean PM10 North,Mean Happiness North
12.44181264,7.357272727
12.54980609,7.336363636
11.66194427,7.445454545
12.40517636,7.41
12.18073055,7.428181818
13.55063973,7.328181818
13.50730618,7.463636364
11.30009582,7.417272727
11.01795873,7.274545455
15.30149927,7.283636364
14.79477564,7.577272727
15.5232,7.411818182
16.00289709,7.499090909
13.65596718,7.409090909
15.35880118,7.387272727
15.97002155,7.39
15.04262682,7.671818182
15.822331,7.227272727
12.270889,7.55
13.30597373,7.385454545
13.39783573,7.327272727
15.98895727,7.398181818
15.43248764,7.410909091
9.660559727,7.346363636
11.95098727,7.523636364
12.15645664,7.483636364
11.77534164,7.558181818
15.50734764,7.456363636
8.933818727,7.429090909
14.550209,7.530909091
16.27706055,7.230909091
15.91671973,7.476363636
7.930435636,7.646363636
9.888910273,7.272727273
8.437193727,7.380909091
8.225690455,7.613636364
7.984746,7.6
8.537687,7.596363636
13.77590018,7.575454545
15.84870455,7.355454545
14.02153745,7.526363636
11.73369082,7.486363636
15.46377982,7.546363636
10.59893045,7.522727273
13.36885355,7.53
14.60104018,7.526363636
13.56507255,7.642727273
12.68678609,7.382727273
13.63879455,7.519090909
10.82579245,7.325454545
12.31346545,7.581818182
11.27527427,7.766363636
11.78661927,7.405454545
9.356166455,7.411818182
10.14604182,7.508181818
11.52325545,7.39
9.573973545,7.741818182
11.14085836,7.440909091
12.19911191,7.425454545
13.04348045,7.409090909
10.65878555,7.633636364
15.48313082,7.620909091
15.66895373,7.554545455
14.47441818,7.495454545
14.95890227,7.526363636
15.33335745,7.625454545
15.58602036,7.574545455
15.49986273,7.559090909
16.42164391,7.366363636
16.50149873,7.659090909
16.28246409,7.280909091
16.074722,7.640909091
15.966506,7.661818182
15.495952,7.571818182
8.946257273,7.677272727
12.37067618,7.74
11.11402009,7.601818182
12.36100427,7.666363636
11.33776736,7.364545455
14.99211527,7.453636364
15.41603882,7.414545455
15.97750482,7.558181818
15.75880845,7.526363636
15.54201245,7.318181818
15.17096464,7.358181818
16.46656536,7.499090909
16.11057445,7.508181818
14.82545436,7.542727273
14.32338582,7.481818182
13.52596327,7.270909091
12.80929245,7.461818182
14.25665009,7.698181818
12.76340055,7.493636364
13.71673182,7.571818182
12.80557327,7.421818182
11.46898427,7.683636364
15.043799,7.353636364
14.98813955,7.528181818
15.04137045,7.419090909
14.72715127,7.565454545
13.95755964,7.618181818
14.338052,7.550909091
14.02408909,7.488181818
12.79208227,7.533636364
13.29200327,7.412727273
14.11384373,7.395454545
13.76543791,7.636363636
12.81176282,7.456363636
12.95884345,7.35
12.98110573,7.397272727
13.94682091,7.220909091
12.29337418,7.288181818
12.352701,7.283636364
14.00821718,7.249090909
12.60034855,7.414545455
12.92434209,7.337272727
13.45782855,7.450909091
13.21816527,7.493636364
13.871596,7.191818182
13.20397209,7.155454545
13.77096218,7.282727273
11.77287582,7.364545455
11.56273718,7.270909091
12.67927191,7.353636364
15.44573927,7.374545455
14.93208209,7.349090909
11.68254445,7.293636364
11.66678891,7.268181818
11.84982445,7.350909091
12.28429009,7.238181818
12.39231136,7.260909091
15.63043273,7.34
15.17220282,7.365454545
14.75265564,7.225454545
16.53448673,7.257272727
14.65435218,7.480909091
15.79441164,7.4
14.67705491,7.154545455
11.28491164,7.346363636
11.12692918,7.398181818
12.18044964,7.361818182
13.614118,7.365454545
14.74855027,7.367272727
11.05767082,7.314545455
