Mean PM2.5 South,Mean Happiness South
9.366727455,7.671818182
7.797463273,7.55
8.469577818,7.456363636
9.635298636,7.192727273
8.310180909,7.470909091
9.076350273,7.451818182
8.257669727,7.432727273
7.528616727,7.416363636
9.571907727,7.411818182
9.877024091,7.398181818
10.94125164,7.472727273
10.28685318,7.450909091
10.98133818,7.395454545
10.44068764,7.365454545
9.855764727,7.43
9.387444727,7.545454545
10.71275927,7.457272727
11.57121636,7.333636364
10.26402827,7.536363636
10.06498391,7.570909091
10.01106982,7.410909091
9.604065636,7.262727273
10.69782609,7.474545455
10.68440018,7.362727273
8.320088818,7.546363636
6.912837273,7.548181818
8.652107364,7.539090909
9.844396545,7.456363636
10.09337645,7.566363636
8.890166,7.434545455
8.078562818,7.622727273
9.722885727,7.530909091
10.34258636,7.422727273
9.881900636,7.56
9.848032636,7.230909091
9.843523091,7.476363636
9.961213909,7.500909091
7.508882273,7.730909091
8.193224909,7.459090909
7.281194909,7.556363636
6.795780909,7.688181818
6.907168455,7.665454545
7.130369727,7.611818182
6.755280182,7.57
6.634853727,7.602727273
8.959503909,7.331818182
9.541594364,7.427272727
9.064096182,7.511818182
8.963962455,7.615454545
8.891043091,7.504545455
10.648229,7.412727273
10.02931764,7.576363636
10.65260245,7.324545455
10.31502427,7.48
10.35704691,7.584545455
10.02089682,7.371818182
10.64530045,7.519090909
10.68447764,7.32
9.761715,7.524545455
9.89026,7.553636364
9.707753455,7.396363636
10.02308318,7.648181818
9.238624545,7.38
8.734187818,7.642727273
8.379071,7.382727273
9.694103455,7.321818182
8.659098,7.452727273
8.92122,7.519090909
9.262743545,7.582727273
9.099574091,7.485454545
10.06653464,7.48
9.941337364,7.597272727
9.635514727,7.413636364
9.410229636,7.65
9.707631,7.523636364
8.411665636,7.580909091
10.13621809,7.617272727
8.940029182,7.510909091
9.215533182,7.642727273
10.63621,7.424545455
9.944958091,7.447272727
10.90778482,7.466363636
10.00497591,7.575454545
10.46195873,7.658181818
10.84913536,7.550909091
9.469802273,7.572727273
9.518789091,7.399090909
11.27747645,7.436363636
9.497796182,7.372727273
9.958418273,7.512727273
9.852015,7.600909091
9.266431636,7.533636364
9.840353727,7.437272727
9.717011,7.367272727
10.078536,7.550909091
9.225057818,7.42
9.694984727,7.280909091
9.610716,7.640909091
9.379789636,7.59
9.509791818,7.461818182
9.301652455,7.366363636
9.437602455,7.571818182
9.178203455,7.568181818
10.14776555,7.301818182
9.561637182,7.503636364
9.592397545,7.542727273
10.547907,7.418181818
9.598455818,7.564545455
9.453497909,7.433636364
9.230980273,7.481818182
8.203589818,7.465454545
7.928063,7.586363636
8.237196545,7.531818182
9.872915636,7.746363636
10.69394764,7.296363636
9.832990091,7.641818182
10.59220209,7.605454545
10.57677909,7.498181818
9.602859,7.36
9.559789273,7.637272727
10.13687,7.466363636
10.56733864,7.452727273
11.04001782,7.517272727
10.11786636,7.424545455
9.883560364,7.578181818
9.079098636,7.569090909
10.06647409,7.620909091
9.055378182,7.618181818
9.050443091,7.651818182
8.939495182,7.683636364
10.20821355,7.449090909
9.155936364,7.558181818
9.332791091,7.597272727
9.501539636,7.376363636
8.314116364,7.533636364
8.907431091,7.636363636
10.583577,7.560909091
10.427827,7.409090909
10.008316,7.631818182
10.38584645,7.427272727
9.437462091,7.637272727
9.716257455,7.576363636
7.203133909,7.578181818
12.13048136,7.412727273
11.56947664,7.422727273
11.37168955,7.372727273
12.32828927,7.463636364
10.56726127,7.441818182
12.892422,7.172727273
10.86795045,7.375454545
12.30364773,7.423636364
11.57074218,7.332727273
12.01318518,7.239090909
13.10817045,7.139090909
12.88065082,7.315454545
12.31255955,7.224545455
11.153586,7.499090909
11.18733891,7.37
11.34512291,7.435454545
11.84496791,7.485454545
13.25020509,7.141818182
13.318524,7.333636364
11.11961055,7.392727273
12.67887482,7.186363636
12.05237218,7.289090909
11.71989627,7.423636364
12.910724,7.465454545
12.07008155,7.419090909
11.40310891,7.446363636
12.68131309,7.267272727
11.01824027,7.414545455
13.28017373,7.411818182
12.37815082,7.383636364
12.17400891,7.366363636
13.53451655,7.326363636
