2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15.000047,13.164561,13.647284,13.850833,11.325082,12.154906,11.876701,12.152241,12.225205,10.809223,10.653856
15.075519,13.084681,13.730277,13.864758,11.070739,12.288835,11.981739,12.366193,12.770174,10.687198,11.127754
13.871336,12.321613,12.823125,12.825627,10.086753,11.626291,11.516124,11.489495,12.215215,9.927107,9.578701
14.88662,13.124034,13.538106,13.693467,11.076023,12.209927,11.853537,12.175242,12.363906,10.804029,10.732049
14.574843,13.094274,13.392638,13.496006,11.218918,11.953857,11.548811,11.808053,11.674986,10.792735,10.432915
16.514241,14.648598,14.763551,14.327846,12.530486,14.095253,11.92979,12.398482,13.739764,11.893081,12.215945
16.407574,14.377036,14.860244,14.499168,12.646176,13.963896,11.822339,12.316149,13.660877,11.929237,12.097672
14.032044,12.098977,12.750042,12.345523,10.688753,11.610387,9.767785,10.287821,10.990655,9.973043,9.756024
12.70737,10.973393,11.940755,11.677693,13.239991,10.940718,9.350437,9.893168,10.115034,9.402219,10.956768
18.729067,15.803526,17.45334,17.234867,14.225329,15.227696,13.832749,14.999692,15.145247,12.684264,12.980715
17.438718,15.499379,16.451293,16.477206,13.610291,14.727917,13.791016,14.46323,15.077958,12.688404,12.51712
18.24277,15.87094,17.461868,17.33087,14.931287,15.504223,14.132607,15.446443,15.788057,12.863062,13.183073
18.877461,16.56335,17.872106,17.89101,15.086795,15.963408,14.523467,15.982645,16.297283,13.424166,13.550177
16.237856,14.447748,15.048878,15.026015,12.356719,13.614482,12.854578,13.303272,14.003576,11.813794,11.508721
18.107394,15.660375,16.656432,16.335166,14.642349,17.045866,15.242381,13.766933,15.949524,12.791039,12.749354
19.132721,16.279311,17.233948,16.84833,15.291634,17.087099,15.459293,15.238828,16.271397,13.279983,13.547693
17.534074,15.333525,16.146988,15.764583,13.969983,16.070055,14.838715,14.768475,15.763777,12.882187,12.396533
18.819205,16.128462,17.342126,17.010036,15.145726,17.22001,15.351891,14.43007,16.185118,13.136919,13.276078
14.104686,12.351753,13.44805,13.315373,11.70789,13.212007,11.491956,11.911625,12.511927,10.584857,10.339655
15.645638,13.812419,14.549869,14.329202,12.724796,13.938172,12.008151,12.426406,14.145551,11.317552,11.467955
16.435122,14.092432,14.973867,14.484043,12.83442,13.924111,11.741621,11.775519,14.384429,11.215233,11.515396
14.975641,12.944682,13.955877,13.643107,11.884889,13.888633,12.146973,12.452306,12.279843,11.748524,11.000086
16.957533,14.461661,15.68726,15.444578,13.422687,15.204596,13.293445,14.164345,13.847237,13.020502,12.224007
14.754365,12.741468,13.769876,13.608321,11.860678,13.489737,11.770103,12.116152,12.193131,11.489902,10.898727
16.342659,14.073274,15.16968,14.917636,13.151885,14.755423,13.211229,13.655519,13.531529,12.607014,12.067362
15.959979,13.340622,14.32058,13.343103,14.956859,14.234113,12.241633,11.059033,12.198176,11.479517,11.352595
14.004593,12.044645,12.754383,12.107703,12.188931,13.310206,11.403822,9.714059,11.586781,11.093957,10.802201
17.332124,14.949442,15.858682,15.316546,13.660733,15.730027,14.437692,14.567882,13.874857,13.404641,12.531315
18.664889,16.199998,17.170919,16.891792,14.736223,16.695297,15.583533,16.096516,16.682923,14.107538,13.048902
20.108063,16.76153,16.9642,16.220059,14.481823,16.421437,16.602009,16.457567,17.381093,14.151379,13.813416
17.608062,14.964374,16.103649,15.990003,14.911351,15.872523,14.846537,14.738367,14.773496,12.955552,11.484457
19.55206,16.778471,17.593876,17.389919,15.543771,17.484403,16.646342,16.609006,16.79593,14.870934,13.116399
17.860925,15.340868,16.35573,16.344911,14.508098,16.823144,15.70441,15.573399,15.476654,13.897837,11.250186
17.428488,14.683766,14.905439,14.127595,12.433996,15.092645,14.258111,14.347584,14.099237,12.809178,11.697236
17.478756,15.081379,15.468433,14.902171,13.014259,15.32936,14.130393,14.226661,13.332557,13.184902,11.959957
18.645681,15.881775,16.404639,15.875334,13.869982,16.613633,15.457825,16.099667,15.186439,14.153613,12.538162
20.856156,17.507726,18.003242,17.443371,15.270075,17.279624,16.683669,16.965585,16.933243,14.63699,13.748294
18.514736,15.675526,15.849795,15.132817,13.274526,15.621852,14.907147,15.018678,14.987049,13.216364,12.228563
18.025212,15.362078,15.651841,14.957542,13.254181,15.728843,14.755007,14.926072,14.448198,13.371139,12.164359
18.380197,15.631962,16.061627,15.453087,13.768467,16.191901,15.679515,15.618363,16.308175,13.792266,12.871804
17.146585,14.743365,14.886313,13.974902,13.427686,15.454017,15.338962,14.648791,13.911294,12.264201,10.552703
18.468374,15.486493,16.257573,15.420239,15.857575,17.094476,15.426907,15.892579,14.40823,13.770456,12.377947
19.358385,15.995844,16.644343,16.027661,15.177624,16.723724,14.592071,15.305983,13.573844,13.525522,12.227898
15.19397,13.057714,13.594352,12.784892,11.854476,13.908435,12.627397,12.48286,11.623874,11.672723,10.110586
11.842406,10.456616,11.128078,11.117415,9.172298,9.270573,8.957301,9.091995,8.573814,8.491432,8.164229
14.600128,12.857914,13.356984,13.024697,11.52893,12.349308,10.167318,10.271831,12.663318,10.121599,10.518833
14.621561,13.039258,13.442651,13.151844,11.768224,12.493367,10.491286,10.873216,12.611032,10.464363,10.764221
13.82122,12.219377,12.88062,12.613084,11.254252,12.533117,10.610947,11.202663,12.378114,10.046134,9.96923
15.145625,12.868352,13.686119,11.952241,12.357032,12.647833,10.997664,10.596031,10.783683,10.671836,10.389301
15.815175,13.731293,14.450873,13.971433,12.202157,14.493778,13.106555,13.157266,12.337394,12.428484,11.382559
18.352029,15.757676,16.298497,15.736974,14.047312,16.15627,15.737031,15.537525,16.304001,13.729233,12.924276
18.904617,16.043637,16.382813,15.806061,14.144788,16.076345,16.063228,15.789096,16.66943,13.852254,13.280885
10.74586,9.545004,10.244211,10.128612,8.391597,8.90455,8.739501,8.546152,8.21792,7.631274,7.177325
15.613591,13.228143,14.115744,13.439012,12.729073,14.329446,12.913564,12.77849,11.888591,11.998897,10.862869
15.096635,13.071232,13.76649,13.266295,11.767425,14.00393,12.60643,12.066551,11.877696,11.905964,10.902166
17.67987,14.978909,15.213138,14.536464,12.871225,15.166561,14.822804,14.653751,15.230156,12.857961,12.04146
18.979432,16.192344,16.913374,16.43913,14.316697,16.693831,16.084285,16.212474,16.551121,14.101229,12.99758
18.546205,16.184646,17.043363,16.658444,14.485598,17.006982,16.203204,16.493174,16.84195,14.909212,12.914974
18.630382,16.330259,17.362888,16.918652,14.845896,17.194209,15.972132,16.609185,17.051657,14.991762,13.140644
18.605556,16.157374,16.837852,16.372369,14.481446,16.71623,15.852189,16.03347,16.677477,14.261414,13.08854
18.868912,16.330373,16.869292,16.382788,14.419615,16.721624,16.316046,16.242689,16.790881,14.400144,13.116295
9.768281,8.474289,9.498311,9.022703,7.874825,7.752129,7.571189,7.440189,6.910571,6.59143,6.330875
11.734034,10.291963,11.15106,10.775167,10.798047,9.707998,8.888844,9.182652,8.861764,8.773311,8.613173
10.162345,8.84554,9.900213,9.58419,8.458038,8.290468,8.187665,8.072368,7.473108,6.970466,6.86473
10.131369,8.855839,9.759697,9.272488,8.027843,8.013973,7.599312,7.658664,7.271224,7.154237,6.737949
9.958012,8.637888,9.416092,9.29603,7.951115,7.657057,7.354028,7.44097,6.678307,6.940341,6.502366
10.609248,9.247063,9.981276,9.712355,8.42812,8.29543,7.786993,7.901637,7.390732,7.569638,6.992065
16.223187,14.073714,15.200974,14.81107,13.403156,15.01103,13.156525,11.961437,14.687604,11.44915,11.557055
18.742176,16.381114,18.34624,17.982596,15.040521,16.182026,14.214909,14.057053,16.550295,13.251288,13.587532
17.125933,14.76335,16.432189,15.804862,13.24737,14.181799,11.89311,12.017583,14.968954,11.70225,12.099512
14.310123,12.309858,13.092566,12.882196,11.273209,12.341607,10.290845,9.874276,13.044074,9.764934,9.886911
18.124493,15.702742,16.752614,16.43651,14.846471,17.196051,15.3735,13.787863,15.946011,12.954667,12.980656
13.338296,11.455669,11.953369,11.505567,9.984805,10.854225,8.545919,8.763042,11.804697,9.035301,9.347345
16.139473,13.987078,15.661349,15.255316,12.773603,13.679892,11.40193,11.349463,14.373503,11.062343,11.373439
16.825837,14.792391,15.756207,15.480816,14.210188,16.183358,14.403517,13.124951,15.41519,12.292616,12.126371
14.034522,12.2293,12.983322,12.69624,11.350605,13.246158,11.391358,10.06055,11.640418,11.171072,10.633238
15.06343,13.020483,13.81362,13.535064,12.611605,14.376624,12.488419,11.086058,12.829586,12.053989,11.581062
13.806874,12.088168,12.879675,12.73526,11.210483,12.913532,11.142454,9.798938,11.425703,10.924809,10.460284
12.831787,11.21798,12.044508,11.62588,10.207332,12.12852,10.219641,9.600047,10.538203,10.012371,9.527933
13.816602,11.837802,12.433539,11.568889,11.043309,12.513969,10.791718,9.016646,10.831776,10.54589,10.111606
13.51746,11.642562,12.309054,11.946564,10.961216,12.716647,10.948622,9.102669,11.155433,10.747046,10.367076
13.426779,11.752222,12.521432,11.848851,10.684427,12.311404,10.454526,9.562503,10.590156,10.241479,9.769634
13.043626,11.218208,11.87439,11.148283,10.210144,11.941617,10.204125,8.517292,10.269335,9.895687,9.49167
15.67561,13.551052,13.923924,13.067197,12.143814,14.402151,14.322082,13.455952,12.705582,11.372889,9.309845
16.419735,14.219036,14.956674,14.447313,13.956921,15.439468,15.203143,14.327714,13.629567,12.111442,9.90127
16.640509,14.472355,14.538619,13.72046,12.455715,14.874898,14.912962,13.896982,13.333042,11.960225,10.151102
16.088464,14.000558,14.589044,14.218042,12.525927,14.726598,14.557174,13.546915,13.074227,11.773026,9.533254
16.078889,13.982652,14.186547,13.594831,11.979699,14.382467,14.296286,13.284546,12.78168,11.464857,9.424564
19.00779,16.176504,17.152407,17.013396,15.263274,16.754629,15.930968,15.827661,16.039993,14.085559,12.642176
18.770344,16.329211,17.161168,16.95711,14.885423,16.935228,16.396077,16.27247,16.689072,14.538462,12.969153
19.71963,17.008097,17.668495,17.389497,15.468848,17.328824,16.742677,16.617456,17.063958,14.841112,13.442451
17.861714,15.038605,16.118824,16.025189,14.328551,15.944542,14.852011,14.765727,14.863293,13.139169,11.499155
19.128366,16.554331,17.371549,17.356522,15.418402,17.094659,16.436024,16.291909,16.704433,14.482001,13.024255
18.176825,15.770271,16.868414,16.837226,14.765833,16.577721,15.896647,15.82475,16.09249,14.081931,12.410508
19.909518,17.093298,17.554453,17.110628,15.347728,17.020408,16.745645,16.58374,17.252389,14.707365,13.74477
19.777048,16.749908,17.293498,16.684944,15.123971,16.293128,16.21635,15.916945,16.629604,13.949663,13.516657
17.7695,15.413959,16.434654,16.432652,14.325746,16.201782,15.468685,15.200285,15.507829,13.590317,11.827059
17.611663,15.110658,16.143293,16.133297,14.21494,15.97838,15.202459,14.897286,15.103454,13.291601,11.5934
17.322571,15.019677,16.237849,16.211467,14.229223,15.997623,15.234724,15.106349,15.339426,13.447967,11.799163
19.083532,16.530074,17.02836,16.620043,14.626582,16.762343,16.45427,16.221223,16.873009,14.454568,13.169029
15.866308,13.543391,14.698948,14.333712,12.959993,14.602755,13.039324,13.577513,13.858525,12.0017,11.541705
15.855014,13.731725,14.602752,14.18721,12.420919,14.505326,13.158838,13.434013,13.595399,12.203088,11.521514
14.591094,12.686299,13.945722,13.802513,12.013828,13.432119,11.833686,12.418457,12.714346,11.273802,10.842781
16.471816,14.200611,15.484443,15.074719,13.34381,15.439033,13.659778,14.555282,14.51167,13.051742,12.521326
15.171184,13.133716,14.3009,13.902766,12.268565,13.989754,12.468299,12.968992,13.001356,11.87309,11.320849
15.852946,13.725622,14.778381,14.484617,12.783062,14.43419,12.97938,13.439704,13.883353,12.006428,11.659057
17.367386,15.005227,15.345316,14.714467,12.912853,15.354477,13.943876,14.063362,12.811252,13.227582,11.969657
16.922532,14.631841,14.85471,14.178855,12.621533,14.997129,13.744378,13.686001,12.70028,12.693466,11.438111
18.178932,15.32862,15.820833,15.118098,14.189909,16.047326,14.33448,14.588669,13.068744,13.11393,12.019991
17.929291,15.107046,15.685311,15.003554,14.155304,16.033376,14.290453,14.484297,13.153623,13.012201,11.752579
16.652383,14.077786,14.653199,13.898267,13.71352,15.45628,13.701426,14.114307,12.782142,12.686562,11.201777
17.058076,14.558257,14.843308,14.172605,12.48994,14.993433,13.805756,13.876249,13.092877,12.697069,11.45688
17.01762,14.458276,14.967868,14.024055,13.806554,15.599824,14.265696,14.235049,13.128071,12.666584,11.409002
15.16623,12.94573,13.59087,12.926305,11.43065,13.732383,12.264656,12.25908,11.12833,11.521194,10.241073
17.708712,14.916513,15.395091,14.670215,13.380641,15.714918,14.521431,14.765291,14.022184,13.371166,12.135108
16.711535,14.454761,14.843397,14.31542,12.532765,14.901052,13.341801,13.517868,12.041081,12.763843,11.503596
